Punjab Assembly ,Name of Candidate,"Number of Votes Polled
","Party Affiliation
","Symbol Allocated
",Total Constituency Voters,Total Male,Total Female,Casted Votes,Casted Male,Female Vote Polled,Rejected Votes,Turnout %
PP-19,Muhammad Zubair,56,IND,#REF!,,,,,,,,
PP-19,Tasmiya Khan,48,IND,#REF!,,,,,,,,
PP-19,Chaudhary Arslan Khan,44,IND,#REF!,,,,,,,,
PP-19,Shahid Iqbal Raja,37,PFP,#REF!,,,,,,,,
PP-19,Ahmed Hassan Chaudhary,37,IND,#REF!,,,,,,,,
PP-19,Ieraj Shahnwaz Ranja,35,IND,#REF!,,,,,,,,
PP-19,Iftikhar Ahmed Chaudhary,34,IND,#REF!,,,,,,,,
PP-19,Nabeel Ahmed,33,IND,#REF!,,,,,,,,
PP-19,Nauman Aziz,33,IND,#REF!,,,,,,,,
PP-19,Farhan Arif Abbasi,25,IND,#REF!,,,,,,,,
PP-19,Muhammad Aslam Abbas,21,IND,#REF!,,,,,,,,
PP-19,Yasir Raza Malik,21,IND,#REF!,,,,,,,,
PP-19,Mohib Allah,19,MOTP,#REF!,,,,,,,,
PP-19,Syed Nasir Hussain Bukhari,19,IND,#REF!,,,,,,,,
PP-19,Naveed Hassan,15,IND,#REF!,,,,,,,,
