National Assembly,Name of Candidate,Party Affiliation,Symbol Allocated,Number of Votes Polled,Number of Voters Polled ,Rejected Votes,Casted Men ,Casted Women ,Registered Males,Registered Females ,Total Voters Registered ,Turnout %
,Faziullah pechuho,IND,,179,,,,,,,,
,Shahid,IND,,168,,,,,,,,
,Syed Ghulam Mohiuddin Shah,IND,,166,,,,,,,,
,Aashique Hussain,IND,,151,,,,,,,,
,Syed Ghulam Mustafa Shah,PPP,Arrow,"125,565",,,,,,,,
,Syed Zain Ul Abdin,GDA,Star(259),"58,785",,,,,,,,
,Ghulam Mustafa Shah,IND,,"6,415",,,,,,,,
,Syed Ghulam Ali Shah,IND,,"4,866",,,,,,,,
,Gul Muhammad Rind,IND-PTI,Kettle,"2,586",,,,,,,,
,Aashique Hussain,TLP,Crane,"2,385",,,,,,,,
,Muhammad Anwar Khan,JIP,Scale,"1,013",,,,,,,,
,Asadullah Unar,IND,,992,,,,,,,,
,Ghullamullah Mari,IND,,786,,,,,,,,
,Danish Anam,MML,,589,,,,,,,,
,Abdul Qayoom,IND,,580,,,,,,,,
,Najma,MQM-P,Kite,407,,,,,,,,
,Aneela,JUIF,Book(31),264,,,,,,,,
,Khan Muhammad Dahri,IND,,237,,,,,,,,
,Farooq Ahmed,IND,,182,,,,,,,,
,Ghulam Rasool Khan Unar,IND,,181,,,,,,,,
,Jaam Tabraiz,IND,,139,,,,,,,,
,Pervaiz Ahmed Chandio,IND,,53,,,,,,,,
,Sayed Mahmood Ahmed Shah,IND,,39,,,,,,,,
,Shazia Marri,PPP,Arrow,"156,002",,,,,,,,
,Muhammad Khan Junejo,GDA,Star(259),"139,604",,,,,,,,
,Hameeda masood shah,IND-PTI,Queen ,"4,071",,,,,,,,
,Muhammad Ali,IND,,"1,491",,,,,,,,
,Zaheeruldin Babar,JIP,Scale,"1,106",,,,,,,,
,Shahbana kouser,TLP,Crane,898,,,,,,,,
,Seeta,IND,,502,,,,,,,,
,MUSHTAQUE,IND,,210,,,,,,,,
,Quratulain Marri,IND,,194,,,,,,,,
,Nawab ali,MQM-P,Kite,92,,,,,,,,
,Aurangzeb,IND,,76,,,,,,,,
,Asghar Ali,IND,,69,,,,,,,,
,Abid farooq,IND,,66,,,,,,,,
,Shagufta,IND,,41,,,,,,,,
,Salahuddin Junejo,IND,,40,,,,,,,,
,Mir Afsar din talpur,IND,,11,,,,,,,,
,Salahuddin Junejo,PPP,Arrow,"150,195",,,,,,,,
,Saira Bano,GDA,Star(259),"108,194",,,,,,,,
,Monochaher,IND-PTI,Cricket Stumps,"7,834",,,,,,,,
,Kamran Aziz Ghauri,JIP,Scale,"3,407",,,,,,,,
,Roshanuddin Junejo,IND,,"1,474",,,,,,,,
,Muhammad khan wassan,IND,,"1,142",,,,,,,,
,Abid,IND,,"1,007",,,,,,,,
,Raza Ullah,MML,,599,,,,,,,,
,Muhammad Zakir Shaikh,MQM-P,Kite,485,,,,,,,,
,Atta Muhammad,IND,,342,,,,,,,,
,Muhammad Ayoob,IND,,264,,,,,,,,
,Niaz Muhammad,IND,,127,,,,,,,,
,Pir Aftab Hussain Shah Jelani,PPP,Arrow,"84,512",,,,,,,,
,Ali Nawaz Shah,IND,,"53,880",,,,,,,,
,Abdul Haque,IND-PTI,Bottle,"22,524",,,,,,,,
,Tehseen,JIP,Scale,"3,950",,,,,,,,
,Javed Ali,IND,,"3,098",,,,,,,,
,Syed Imam Ali Shah,IND,,"1,648",,,,,,,,
,Adnan Khan,IND,,"1,528",,,,,,,,
,Asad Ali Khan Junejo,PML-N,,"1,043",,,,,,,,
,Abdul Rasheed,PRP,,703,,,,,,,,
,Masood Ahmad Wasan,IND,,692,,,,,,,,
,Sanjay Perwani,IND,,490,,,,,,,,
,Usman Mughal,IND,,338,,,,,,,,
,Imam ali,IND,,295,,,,,,,,
,Muhammad kashif Abbasi,IND,,285,,,,,,,,
,Muhammad Jibran,PMA,,200,,,,,,,,
,Aslam khan,IND,,46,,,,,,,,
,Mir Munwar Ali Talpur,PPP,Arrow,"121,972",,,,,,,,
,Ali Nawaz Shah,IND,,"45,321",,,,,,,,
,Faisal kachelo,IND,,"20,974",,,,,,,,
,Muhammad umer jan,TLP,Crane,"2,993",,,,,,,,
,Muhammad hanif khan,JIP,Scale,"2,106",,,,,,,,
,Mir Allahdad khan,IND,,894,,,,,,,,
,Masood Ahmed Wasan,IND,,816,,,,,,,,
,Syed Mumtaz Ali Shah,IND-PTI,Hand Pump,791,,,,,,,,
,Ghulam Qadir,JUIF,Book(31),456,,,,,,,,
,Bhooro,IND,,189,,,,,,,,
,Nawab Yousaf Talpur,PPP,Arrow,"175,162",,,,,,,,
,Mir Amanullah Khan Talpur,PML-N,,"44,847",,,,,,,,
,Lal chand,IND-PTI,Hand Pump,"37,958",,,,,,,,
,Malik Kamran Rasheed,TLP,Crane,"5,997",,,,,,,,
,Haji Baqa Palli,IND,,"4,209",,,,,,,,
,Akbar Ali,IND,,"3,215",,,,,,,,
,Prem Chand,MQM-P,Kite,"1,542",,,,,,,,
,Muhammad Aijaz,JIP,Scale,"1,230",,,,,,,,
,Lekhraj Mal,IND,,"1,218",,,,,,,,
,Mir Ghazanfar Ali Talpur,IND,,"1,058",,,,,,,,
,Dr. Farzana,IND,,628,,,,,,,,
,Syed Hassan Raza,IND,,622,,,,,,,,
,Tirath Meghwar,IND,,589,,,,,,,,
,Muhammad Jam,IND,,528,,,,,,,,
,Syed Noor Ali Shah,IND,,449,,,,,,,,
,Bhamar Lal,IND,,446,,,,,,,,
,Muhammad Taimur Talpur,IND,,335,,,,,,,,
,Fakir Ghulam Nabi Mangrio,IND,,247,,,,,,,,
,Bilal Ur Rehman,IND,,111,,,,,,,,
,Ameer ali shah jallani,PPP,Arrow,"129,992",,,,,,,,
,Abdul Razzaque,GDA,Star(259),"60,245",,,,,,,,
,Makhdoom Zain Hussain Qureshi,IND-PTI,Trowel,"16,844",,,,,,,,
,Abdul Aziz,JUIF,Book(31),"1,686",,,,,,,,
,Gul hassan,TLP,Crane,880,,,,,,,,
,Shan ali shah jeelani,IND,,866,,,,,,,,
,Umaid Khan,IND,,366,,,,,,,,
,Makhdoom Shah Mehmood Qureshi,IND,,345,,,,,,,,
,Wali Muhammad Rehmoi,IND,,97,,,,,,,,
,Nizam ul din,IND,,93,,,,,,,,
,Dilawar Khan,IND,,83,,,,,,,,
,Mahesh Kumar Malani,PPP,Arrow,"132,061",,,,,,,,
,Arbab Ghulam Rahim,GDA,Star(259),"113,346",,,,,,,,
,Mehar Un Nisa Baloch,IND-PTI,Aeroplane,"6,738",,,,,,,,
,Muhammad Meean,IND,,"3,549",,,,,,,,
,Aziz Ullah,JUIF,Book(31),"2,259",,,,,,,,
,Arbab Zakaullah,IND,,"2,151",,,,,,,,
,Arbab ibrahim rahim,IND,,"1,220",,,,,,,,
,lajpat rai,IND,,"1,146",,,,,,,,
,Mir Muhammad,JIP,Scale,979,,,,,,,,
,Abdul Karim,IND,,884,,,,,,,,
,Hemoon,IND,,651,,,,,,,,
,Manoj Kumar,IND,,480,,,,,,,,
,Arbab Zafarullah,IND,,336,,,,,,,,
,Ghaman,IND,,275,,,,,,,,
,Vijay Kumar,IND,,149,,,,,,,,
,Arbab Noor Jabar,IND,,145,,,,,,,,
,Tirath Meghwar,IND,,99,,,,,,,,
,Gamoon,IND,,82,,,,,,,,
,Arbab Togachi Fawad Razzaq,IND,,67,,,,,,,,
,Kalaram,IND,,47,,,,,,,,
,Makhdoom Jamil uz Zaman,PPP,Arrow,"124,536",,,,,,,,
,Bashir Ahmed,PML-N,,"80,439",,,,,,,,
,Nazish Bhatti,IND-PTI,Laptop,"4,045",,,,,,,,
,Khalid Ahmed Memon,IND,,"2,616",,,,,,,,
,Atta Ur Rehman Korejo,JIP,Scale,"2,142",,,,,,,,
,Behzad Ahmed,IND,,669,,,,,,,,
,Suhail Ahmed,IND,,459,,,,,,,,
,Muharram Khaskheli,IND,,431,,,,,,,,
,Amjad Hussain,IND,,374,,,,,,,,
,Imdad Ali,PRP,,335,,,,,,,,
,Noor Muhammad Memon,IND,,180,,,,,,,,
,Syed Ali Murtaza Shah,IND,,89,,,,,,,,
,Zulfiqar Bachani,PPP,Arrow,"119,530",,,,,,,,
,Rahila Magsi,GDA,Star(259),"73,778",,,,,,,,
,Rozeena Bhutto,IND-PTI,Goat,"6,006",,,,,,,,
,Muhammad Jahangeer,TLP,Crane,"3,219",,,,,,,,
,Muhammad Sikandar,PRP,,"1,528",,,,,,,,
,Deedar Hussain,JIP,Scale,"1,416",,,,,,,,
,Muhammad Khalid Khanzada,IND,,807,,,,,,,,
,Rashid Hussain,IND,,778,,,,,,,,
,Zeeshan,KS,,330,,,,,,,,
,Mir Muhammad Khokhar,IND,,262,,,,,,,,
,Abdul Sattar Bachani,IND,,241,,,,,,,,
,Muhammad Jaffar,IND,,194,,,,,,,,
,Javed Ali,IND,,173,,,,,,,,
,Immam-ud-Din Sheikh,IND,,153,,,,,,,,
,Ghulam Shabbir,IND,,108,,,,,,,,
,Syed Hussain Tariq,PPP,Arrow,"108,597",,,,,,,,
,Muhammad Rizwan,IND,,"7,942",,,,,,,,
,Zubair Khadim,JIP,Scale,"5,139",,,,,,,,
,Muhammad Umar,TLP,Crane,"2,749",,,,,,,,
,Sajjad Ahmed,IND,,"2,077",,,,,,,,
,Mehak Rafiq,MML,,989,,,,,,,,
,Kamran,IND,,978,,,,,,,,
,Muhammad Bux,IND,,746,,,,,,,,
,Naseem Akhtar,MQM-P,Kite,742,,,,,,,,
,Muhammad Rizwan Shaikh,JUI-N,,507,,,,,,,,
,Muharram Khan,IND.,,95,,,,,,,,
,Abdul Aleem Khan,MQM-P,Kite,"55,050",,,,,,,,
,Mustansar Billah,IND-PTI,Sheep,"38,315",,,,,,,,
,Ali Muhammad Sahito,PPP,Arrow,"26,649",,,,,,,,
,Muhammad Momin Kanwar,IND,,"6,373",,,,,,,,
,Muhammad Irfan Qureshi,TLP,Crane,"5,806",,,,,,,,
,Meraj Ul Huda Siddiqui,JIP,Scale,"4,675",,,,,,,,
,Husnain Rashid,PML-N,,"1,576",,,,,,,,
,Muhammad Rasheed Khan,IND,,700,,,,,,,,
,Muhammad Abid,MML,,658,,,,,,,,
,Syed Aftab Ahmed,IND,,498,,,,,,,,
,Shafiq Ahmed,IND,,469,,,,,,,,
,Mirza Faheem Baig Mughal,IND,,427,,,,,,,,
,Sadaf Shaikh,IND,,392,,,,,,,,
,Irfan Gul Magsi,IND,,354,,,,,,,,
,Shaikh Mian Imran Alvi,BP,,347,,,,,,,,
,Tahira,IND,,342,,,,,,,,
,Jamshed Ali Shaikh,IND,,250,,,,,,,,
,Faisal Mughal,IND,,211,,,,,,,,
,Hakeem Khan,SKQM,,211,,,,,,,,
,Mahmood Ahmed Qadri,JUI-N,,179,,,,,,,,
,Tahir Majeed,IND,,160,,,,,,,,
,Syed Muhammad Ahmed Rashid,IND,,157,,,,,,,,
,Mehmood Hussain,IND,,127,,,,,,,,
,Iqrar Ahmed Khan,IND,,125,,,,,,,,
,Zuhaib Hussain,IND,,113,,,,,,,,
,Muhammad Rehan,IND,,108,,,,,,,,
,Taimoor Hussain,IND,,108,,,,,,,,
,Abdul Majeed Bhatti,IND,,102,,,,,,,,
,Ahsan Magsi,IND,,98,,,,,,,,
,Rasheed Ahmed Khan,IND,,81,,,,,,,,
,Bilal Ahmed Khan,IND,,66,,,,,,,,
,Muhammad Ashraf,PKMAP,,66,,,,,,,,
,Ateeq Ur Rehman,IND,,63,,,,,,,,
,Agah Sadar,IND,,63,,,,,,,,
,Syed Liaquat Ali Shah,IND,,62,,,,,,,,
,Syed Sohail mehmood,IND,,58,,,,,,,,
,Ubaid Ullah Khan,IND,,53,,,,,,,,
,Muhammad Shoukat,IND,,32,,,,,,,,
,Syed Waseem Hussain,MQM-P,Kite,"64,531",,,,,,,,
,Faisal Mughal,IND-PTI,T-Shirt,"52,025",,,,,,,,
,Waseem Ahmed Rajput,PPP,Arrow,"28,099",,,,,,,,
,Ghulam Qadir,TLP,Crane,"7,584",,,,,,,,
,Abdul Majeed Bhatti,IND,,"4,473",,,,,,,,
,Tahir Majeed,JIP,Scale,"4,365",,,,,,,,
,Rasheed Ahmed Khan,IND,,"3,884",,,,,,,,
,Khalid Aziz,PML-N,,"1,969",,,,,,,,
,Syed Muhammad Hussain,AL,Human Hand(143),"1,401",,,,,,,,
,Nisar Ahmed Qazi,IND,,"1,096",,,,,,,,
,Arman Ahmed,JUP-S,,869,,,,,,,,
,Sahibzada Shabbir Hassan Ansari,IND,,707,,,,,,,,
,Shahbaz,MML,,565,,,,,,,,
,Shusheel Gobind,IND,,528,,,,,,,,
,Shakir Mehmod,IND,,488,,,,,,,,
,Muhammad Adnan,IND,,427,,,,,,,,
,Sahibzada Abul Khair Muhammad Zubair,JUI-N,,341,,,,,,,,
,Muhammad Rizwan,IND,,217,,,,,,,,
,Mazhar Rafee Memon,IND,,214,,,,,,,,
,Asfand Mari,IND,,187,,,,,,,,
,Salahuddin,IND,,179,,,,,,,,
,Aamir,IND,,166,,,,,,,,
,Nisar Ahmed Khan,IND,,159,,,,,,,,
,Nizam Uddin,IND,,145,,,,,,,,
,Malik Abdul Rasheed,TJP,,144,,,,,,,,
,Azhar Bin Qayoom,IND,,121,,,,,,,,
,Zulfiqar Ali Halepoto,IND,,101,,,,,,,,
,Habib Ullah Khan,IND,,96,,,,,,,,
,Qadir Muhammad Ilyas,IND,,92,,,,,,,,
,Muhammad Iqbal Arain,IND,,58,,,,,,,,
,Nazim Ali Arain,IND,,51,,,,,,,,
,Fayaz Raheem,IND,,238,,,,,,,,
,Amin,TLP,Crane,"4,143",,,,,,,,
,Abdul Rahim,IND,,"1,417",,,,,,,,
,Mir Ali Nawaz,GDA,,714,,,,,,,,
,Muhammad Irfan,IND-PTI,Bottle,"23,810",,,,,,,,
,Muhammad Hasan Nazami,IND,,294,,,,,,,,
,Muhammad Altaf Nazami,IND,,"1,103",,,,,,,,
,Lal Bakhsh,IND,,"7,975",,,,,,,,
,Kashif ul Hussain Shah,IND,,113,,,,,,,,
,Abdul Jabbar Maghsi,IND,,318,,,,,,,,
,Ghulam Hussain,IND,,155,,,,,,,,
,Abdul Tahir Soomro,IND,,186,,,,,,,,
,Syed Naveed Qamar,PPPP,,"110,892",,,,,,,,
,Peer Aaqib Jan,IND,,"1,218",,,,,,,,
,Imtiaz Hussain,MQM-P,Kite,392,,,,,,,,
,Ijaz Ali,JIP,Scale,"2,025",,,,,,,,
,Ahmed Noorani,KS,,"7,857",,,,,,,,
,Meer Ghulam Ali,PPPP,,"113,916",,,,,,,,
,Meer Hussain Bakhsh,GDA,,"67,010",,,,,,,,
,Pir Muhammad Ali,TLP,Crane,"1,671",,,,,,,,
,Shah Nawaz,IND-PTI,Fork,"6,932",,,,,,,,
,Azhar Ali,JUIF,Book(31),954,,,,,,,,
,Safiya Khanum,JIP,Scale,"1,122",,,,,,,,
,Muhammad Shoaib,PMML,,453,,,,,,,,
,Abdullah,PRH,,"3,587",,,,,,,,
,Meer Noor Mohammed Talpur,IND,,503,,,,,,,,
,Asad kamal Khan Chang,IND,,411,,,,,,,,
,Muhammad Saddique,IND,,82,,,,,,,,
,Muhammad hashim,IND,,666,,,,,,,,
,Muhammad Hassam Mirza,GDA,,"79,152",,,,,,,,
,Muhammad Musa,JIP,Scale,"2,080",,,,,,,,
,Haji Rasool Bakhsh Chandio,PPPP,,"115,681",,,,,,,,
,Fatah Muhammad,JUIF,Book(31),"5,830",,,,,,,,
,Aziz Ullah Dero,IND-PTI,Water Cooler,"2,576",,,,,,,,
,Paras,MQM-P,Kite,581,,,,,,,,
,Muhammad Qasim,TLP,Crane,"3,759",,,,,,,,
,Muhammad Anwar,PMML,,"1,460",,,,,,,,
,Kamran,IND,,121,,,,,,,,
,Fehmida Mirza,IND,,"2,480",,,,,,,,
,Kamal Khan Chang,IND,,"5,301",,,,,,,,
,Gulzar Ahmad,IND,,559,,,,,,,,
,Zulfiqar Ali Mirza,IND,,675,,,,,,,,
,Syed Ayaz Ali Shah Sheerazi,PPPP,Arrow,"134,006",,,,,,,,
,Molvi Muhammad Saleh Alhadad,JUIF,Book(31),"15,314",,,,,,,,
,Mumtaz Ali Shah,IND-PTI,Clock,"11,014",,,,,,,,
,Ghullam Sarwar Khatti,TLP,Crane,"9,677",,,,,,,,
,Munawar Ali Laghari,IND,,"2,716",,,,,,,,
,Muhammad Ramzan Lashari,MQM-P,Kite,891,,,,,,,,
,Syed Naseer Ahmed Shah Sheerazi,IND,,547,,,,,,,,
,Lal Bux Jotoi,IND,,"5,533",,,,,,,,
,Sadiq Ali Memon,PPPP,,"140,773",,,,,,,,
,Rasool Bux Jakhro,PMLN,,"28,899",,,,,,,,
,Syed Jamil Ahmed,IND-PTI,Cricket Stumps,"6,324",,,,,,,,
,Imtiaz Ahmad,JIP,Scale,"4,100",,,,,,,,
,Meer Murtaza,IND,,"3,240",,,,,,,,
,Muhammad Junaid niaz,MQM-P,Kite,764,,,,,,,,
,Ghulam Rasool,IND,,628,,,,,,,,
,Mumtaz Ali Memon,IND,,545,,,,,,,,
,Shams ul Nisa,IND,,468,,,,,,,,
,Noor Hassan,IND,,453,,,,,,,,
,Javed Hussain Shah Hussaini,IND,,507,,,,,,,,
,Malik Asad Sikander,PPPP,,"165,044",,,,,,,,
,Syed Muneer Haider,GDA,,"30,876",,,,,,,,
,Peer Rahmen Shah,IND,,"7,891",,,,,,,,
,Abdul Haqeem Chandio,IND-PTI,Ricket,"5,795",,,,,,,,
,Abedullah Jamro,TLP,Crane,"3,983",,,,,,,,
,Roshan Ali Buriro,IND,,"2,681",,,,,,,,
,Malik Pahar Khan,IND,,"2,407",,,,,,,,
,Liaquat Ali,IND,,"1,765",,,,,,,,
,Syed Mussrat Ali,IND,,820,,,,,,,,
,Aisha,PPML,,743,,,,,,,,
,Nawab Khan,IND,,334,,,,,,,,
,Irfan Ali Leghari,PPPP,,"104,013",,,,,,,,
,Liaquat Ali Jatoi,GDA,,"93,956",,,,,,,,
,Hajan Khan Leghari,JUIF,Book(31),"1,848",,,,,,,,
,Shabana Nawab,IND-PTI,Dolphine,684,,,,,,,,
,Madad Ali Sodhar,IND,,483,,,,,,,,
,Mussarat,IND,,481,,,,,,,,
,Qazi Abdul Waheed,IND,,404,,,,,,,,
,Nabi Bux Jatoi,IND,,247,,,,,,,,
,Imdad Ali,IND,,483,,,,,,,,
,Altaf Ahmed,IND,,97,,,,,,,,
,Mounder Buriro,IND,,"1,956",,,,,,,,
,zulfiqar Ali,MQM-P,Kite,,,,,,,,,
,Rafiq Ahmed Jamali,PPPP,,"98,451",,,,,,,,
,Karim Ali Jatoi,GDA,,"49,103",,,,,,,,
,Rashid Ali,TLP,Crane,"6,678",,,,,,,,
,Gaji Khan Leghari,IND,,"3,989",,,,,,,,
,Zulfiqar Ali Mallah,IND-PTI,Dolphine,"3,394",,,,,,,,
,Abu Bakar Brohi,JUIF,Book(31),"1,774",,,,,,,,
,Khaleel Ahmad Qurashi,IND,,"1,733",,,,,,,,
,syed Ameer Ahmad,IND,,"1,017",,,,,,,,
,Afzal Khan,IND,,873,,,,,,,,
,Zafar Ali,JIP,Scale,697,,,,,,,,
,Muhammad Imran Khan,IND,,403,,,,,,,,
,Saeed Ahmed Jamali,IND,,278,,,,,,,,
,Syed Zafar Ali Shah,IND,,184,,,,,,,,
,Mir Shujaullah Panhwar,IND,,136,,,,,,,,
,Abdul Majeed Chahwan,MQM-P,Kite,374,,,,,,,,
,Jam Abdul Karim Bijar,PPPP,,"55,732",,,,,,,,
,Qadir Bux,PMLN,,"21,841",,,,,,,,
,Wali Muhammad,IND-PTI,Peacock,"14,131",,,,,,,,
,Muhammad Ijaz,TLP,Crane,"5,277",,,,,,,,
,Mumtaz Hussain,JIP,Scale,"5,219",,,,,,,,
,Shahid Hussain,IND,,334,,,,,,,,
,Sajid Mahmood,ANP,Lantern (162),231,,,,,,,,
,Farooq Khan,IND,,202,,,,,,,,
,Junaid Anwar,IND,,176,,,,,,,,
,Shazia Subohi,IND,,152,,,,,,,,
,Fouzia Hameed,MQM-P,Kite,148,,,,,,,,
,Abdul Raheem,PML,,107,,,,,,,,
,Bakht Amin Shah,IND,,60,,,,,,,,
,Erum Wahab Butt,IND,,59,,,,,,,,
,Sher Muhammad,IND,,43,,,,,,,,
,Syed Rafiullah,PPP,Arrow,"32,099",,,,,,,,
,Masroor Ali,IND-PTI,Ricket,"23,370",,,,,,,,
,Hafiz Aurangzaib Farooqui,PRP,,"15,593",,,,,,,,
,Haji Muzafar Ali Shujra,PML-N,,"14,805",,,,,,,,
,Muhammad Islam,JIP,Scale,"4,789",,,,,,,,
,Muhammad Anwar,TLP,Crane,"3,591",,,,,,,,
,Zahid Iqbal,IND,,"1,298",,,,,,,,
,Asif Ali,ANP,Lantern (162),"1,007",,,,,,,,
,Sardar Khan,IND,,580,,,,,,,,
,Muhammad Wali Shah,JUIF,Book(31),404,,,,,,,,
,Farid Ullah,IND,,377,,,,,,,,
,Abdul Aziz,IND,,267,,,,,,,,
,Riaz Raza,IND,,266,,,,,,,,
,Essa Khan,SKQM,,200,,,,,,,,
,Mir Raja Khan Jakhrani,IND,,186,,,,,,,,
,Muhammad Ajaz Raza,IND,,171,,,,,,,,
,Muhammad Rafiq,IND,,98,,,,,,,,
,Muhammad Shoaib,IND,,85,,,,,,,,
,Farzana Parveen,PCP,,73,,,,,,,,
,Amanullah Khan,IND,,61,,,,,,,,
,Ahsanullah,IND,,55,,,,,,,,
,Jamal Abdul Nasir,IND,,49,,,,,,,,
,Shahbaz Ali,PMA,,47,,,,,,,,
,Abdul Razzaq,PKMAP,,38,,,,,,,,
,Muhammad Kashif Imran,IND,,37,,,,,,,,
,Abdul Hakim Baloch,PPP,Arrow,"43,634",,,,,,,,
,Khalid Mehmood Ali,IND-PTI,Table Tennis Bat,"43,245",,,,,,,,
,Umar Farooq,JIP,Scale,"14,143",,,,,,,,
,Jamil Ahmed Khan,PML-N,,"9,999",,,,,,,,
,Muhammad Ismail Hussaini,TLP,Crane,"7,308",,,,,,,,
,Nisar Ahmed,IND,,"4,530",,,,,,,,
,Tahir Malik,IND,,"1,468",,,,,,,,
,Tariq Aziz,PRP,,"1,241",,,,,,,,
,Abdul Qayyum,ANP,Lantern (162),792,,,,,,,,
,Aurangzaib Khan,GDA,,640,,,,,,,,
,Muhammad Ismail,IND,,560,,,,,,,,
,Malik Ishtiaq Ahmed Bashir,IND,,389,,,,,,,,
,Sheezan,IND,,372,,,,,,,,
,Muhammad Wali Shah,JUP-S,,329,,,,,,,,
,Baber Hakeem Baloch,IND,,298,,,,,,,,
,Syed Arif Raza Zaidi,MWM,,225,,,,,,,,
,Muhammad Rizwan Chandna,IND,,136,,,,,,,,
,Qadir Bux,IND,,133,,,,,,,,
,Syed Atif Shahzad Nabi,IND,,131,,,,,,,,
,Muhammad Qasim,IPP,,124,,,,,,,,
,Salman Abdullah,IND,,102,,,,,,,,
,Syed Zahid Abbas Naqvi,IND,,100,,,,,,,,
,Rashid Jahangir,IND,,79,,,,,,,,
,Wajahat Ullah Safi,IND,,58,,,,,,,,
,Syed Tahir Hussain Shah,IND,,45,,,,,,,,
,Aasia Ishaque Siddiqui,MQM-P,Kite,"88,258",,,,,,,,
,Adeel Ahmed,IND-PTI,Mic,"66,574",,,,,,,,
,Taufeeq Uddin Siddiqui,JIP,Scale,"41,106",,,,,,,,
,Muhammad Akram,IND,,"12,132",,,,,,,,
,Muhammad Yaseen,TLP,Crane,"10,821",,,,,,,,
,Muhammad Owais Siddiqui,JUPIN,,"2,967",,,,,,,,
,Ashraf Waheed,IND,,"2,138",,,,,,,,
,Mohammad Ashraf Alam,IND,,"2,138",,,,,,,,
,Mohammad Aftab Uddin Baqai,IND,,"2,045",,,,,,,,
,Aleem Adil Sheikh,IND,,"1,873",,,,,,,,
,Shaukatullah Farooqui,MQM,,"1,424",,,,,,,,
,Muhammad Anwar,IND,,"1,321",,,,,,,,
,Abdul Haleem,IND,,955,,,,,,,,
,Abdul Haque Malik,PRP,,807,,,,,,,,
,Ashfaq Ahmed Mangi,IND,,413,,,,,,,,
,Muhammad Shahid Siddique,MML,,401,,,,,,,,
,Noman Ali,IND,,383,,,,,,,,
,Adeel Azam,IND,,372,,,,,,,,
,Muhammad Tanveer Qurashi,IND,,352,,,,,,,,
,Noman Adil Malik,IND,,326,,,,,,,,
,Arshad Ali Khan,PML-Z,,322,,,,,,,,
,Rehan Ahmed,IND,,290,,,,,,,,
,Syed Imran Haider Abdi,IND,,216,,,,,,,,
,Muhammad Mumtaz,PIRP,,211,,,,,,,,
,Syed Akbar Shah Mewati,IND,,207,,,,,,,,
,Syed Sajid Tirmizi,IND,,193,,,,,,,,
,Suroor Zafar,IND,,188,,,,,,,,
,Tariq Mehmood Qadri,IPP,,187,,,,,,,,
,Nisar Ahmed,IND,,181,,,,,,,,
,Zeeshan Abbas Malik,IND,,171,,,,,,,,
,Muhammad Ebrahim Ali,MOTP,,145,,,,,,,,
,Ghulam Ali,IND,,120,,,,,,,,
,Fayyaz Ahmed Tabassum,PAT,,108,,,,,,,,
,Muhammad Ehsan,IND,,77,,,,,,,,
,Muhammad Qavi Ullah Khan Shirazi,IND,,72,,,,,,,,
,Muhammad Arif Khan,PMA,,39,,,,,,,,
,Muhammad Javed Hanif Khan,MQM-P,Kite,"103,967",,,,,,,,
,Muhammad Haris,IND-PTI,Still Camera,"58,753",,,,,,,,
,Nida Asim,PPPP,,"32,231",,,,,,,,
,Abdul Jamil Khan,JIP,Scale,"29,071",,,,,,,,
,Shahzada Shahbaz,TLP,Crane,"15,298",,,,,,,,
,Syed Rafi Uddin,MQM,,"7,090",,,,,,,,
,Muhammad Farooq,IND,,"6,739",,,,,,,,
,Syed Rauf Ur Raza Rizvi,IND,,"4,429",,,,,,,,
,Hamza Tariq,PRP,,"3,242",,,,,,,,
,Asad Mujahid,IND,,"3,050",,,,,,,,
,Zain ul Abdin Ansari,PML-N,,"2,801",,,,,,,,
,Muhammad Farooq Ul Hassan,IND,,934,,,,,,,,
,Zeeshan Ahmed,IND,,613,,,,,,,,
,Syed Waqar Muhammad Shah,IND,,589,,,,,,,,
,Muhammad Younus Tanoli,IND,,465,,,,,,,,
,Syed Faizan Anees,PML,,391,,,,,,,,
,Muhammad Ashraf Qureshi,IND,,281,,,,,,,,
,Mudassir Yaqoob,,,214,,,,,,,,
,Shabbir Ahmed Qaimkhani,IND,,208,,,,,,,,
,Muhammad Ishtiaq Khan Jadoon,JUPIN,,190,,,,,,,,
,Syed Mahmood Saeed,IND,,167,,,,,,,,
,Faraz Ur Rehman,IND,,158,,,,,,,,
,Muhammad Shahid,IND,,142,,,,,,,,
,Abdul Hafiz,IND,,102,,,,,,,,
,Imtiaz Alam,IND,,100,,,,,,,,
,Abdul Sattar,IND,,88,,,,,,,,
,Rao Liaquat Ali,IND,,82,,,,,,,,
,Muhammad Moin Aamer Pirzada,MQM-P,Kite,"73,687",,,,,,,,
,Faheem Khan,IND-PTI,Bottle,"43,774",,,,,,,,
,Muhammad Ali Rashid,PPPP,,"17,935",,,,,,,,
,Akhter Hussain Qureshi,JIP,Scale,"12,731",,,,,,,,
,Abdul Sattar,TLP,Crane,"8,733",,,,,,,,
,Saleem Zia,PML-N,,"6,664",,,,,,,,
,Syed Abdul Rafay,PRP,,"3,256",,,,,,,,
,Ghulam Muhammad Banglani,IND,,"2,414",,,,,,,,
,Muhammad Shahid,IND,,"1,052",,,,,,,,
,Muhammad Sadiq,MQM,,482,,,,,,,,
,Gulab Khan,SKQM,,447,,,,,,,,
,Sardar Babar Abbasi,IND,,351,,,,,,,,
