Constituency,Candidates,Sign,Party,Votes
PS-112,Muhammad Asif,Arrow (12),PPP,10784
PS-112,Muhammad Akram,Kite (159),MQM-P,5571
PS-112,Syed Khaleeq Ur Rehman,Scale (232),JIP,5248
PS-112,Ghulam Shoaib,Tiger (284),PML-N,4150
PS-112,Muhammad Usman,Crane (71),TLP,4143
PS-112,Muhammad Dawood,,SKQM,850
PS-112,Qadeem Shah,Lantern (162),ANP,545
PS-112,Muhamma Saleem,,IND,319
PS-112,Muhammad Rafiq Khan,Butterfly (44),HQM,262
PS-112,Saleem Ullah,Iron (147),PRP,233
PS-112,Atta Ur Rehman,,IND,197
PS-112,Ibrahim Banglani,,IND,191
PS-112,Malik Shahzad Awan,,IND,174
PS-112,Muhammad Karam,,IND,141
PS-112,Fayaz Naseem,,IND,139
PS-112,Abdul Rehman Rehmani,,IND,132
PS-112,Abdul Wahab,Tent (282),MML,115
PS-112,Khawaja Talal Shoaib,,IND,98
PS-112,Muhammad Hussain,,IND,71
PS-112,Muhammad Usman khan,,IND,70
PS-112,Umer Daraz Khan,,IND,63
PS-112,Fazal Ahmed,,IND,28
PS-112,Babar Ali,,IND,27
PS-112,Muhammad Kamran Shafi,,IND,25
PS-112,Raja Muhammad Imran,,IND,25
PS-112,Saddam Hussain,,IND,25
PS-112,Najeeb Ullah Khan Niazi,,IND,20
PS-112,Raheem Khan,,IND,18
PS-112,Asmat Ullah,,IND,17
PS-112,Abid Hussain,,IND,16
PS-112,Muhammad Tariq Tanoli,,TSH,15
PS-112,Muahmmad Rizwan Ishaq,,IND,15
PS-112,Taslem Sarfaraz,,IND,10
PS-112,Muhammad Faisal,,IND,5
PS-113,Faheem Ahmed,Kite (159),MQM-P,24465
PS-113,Ghulam Qadir,TABLE میز,IND-PTI,21031
PS-113,Hafiz Ghulam Sarwar,Crane (71),TLP,10383
PS-113,Muhammad Arshad Qureshi,Scale (232),JIP,7588
PS-113,Muhammad Ibrahim Baloch,Arrow (12),PPP,7093
PS-113,Salheen,Tiger (284),PML-N,5457
PS-113,Tariq Aziz,,IND,1254
PS-113,Israr Uddin,Lantern (162),ANP,905
PS-113,Sarfaraz,,IND,399
PS-113,Hammad Ahmed,Tent (282),MML,238
PS-113,Ehsan Ullah,,IND,228
PS-113,Zahir Shah,,IND,184
PS-113,Muhammad Tahir Shah,,IND,152
PS-113,AghA Muhammad Naeem Durrani,,IND,113
PS-113,ameer umar,,IND,94
PS-113,Muhammad Masood khan,,IND,82
PS-113,Muhammad Aslam,,IND,80
PS-113,Dilnawaz Ahmed,,IND,69
PS-113,Shehzad Hussain Shah,,IND,60
PS-113,Hasnain Ali Chohan,,IND,47
PS-113,Riaz Ahmed,,IND,45
PS-113,Nazar Muhammad Afridi,,IND,38
PS-113,Muhammad Waseem,,IND,13
PS-113,Muhammad Usman Ghani Awan,,IND,12
PS-113,Muhammad Sharjeel Jafri,,IND,6
PS-114,Muhammad Shabbir,TABLE میز,IND-PTI,21531
PS-114,Niaz Muhammad,Arrow (12),PPP,14559
PS-114,Abdul Razzak,Scale (232),JIP,13132
PS-114,Muhammad Usman,Book (31),JUIF,7111
PS-114,Fayyaz Kaim Khani,Kite (159),MQM-P,3831
PS-114,Ahsan Ul Haq,Crane (71),TLP,3622
PS-114,Altaf Hussain Mengal,,IND,2098
PS-114,Habib Ur Rehman,Tractor (292),PML,707
PS-114,Khalid Rafiq,,IND,331
PS-114,Imran Ali Khan,,IND,327
PS-114,Raza Ullah Khan,,IND,215
PS-114,Abdul Qadir,Tent (282),MML,184
PS-114,Sher Muhammad,,IND,143
PS-114,Iqbal Hussain,Iron (147),PRP,139
PS-114,Noor Shah,,SKQM,130
PS-114,Arshad Sohail,,IND,87
PS-114,Inam Ur Rehman,,IND,78
PS-114,Shoukat Ali Khan Afridi,,IND,72
PS-114,Sher Roshan Khan,Eagle (93),IPP,69
PS-114,Muhammad Shakir Ur Rehman,,IND,68
PS-114,Abdul Basit,,IND,52
PS-114,Abbas Ur Rehman Afridi,,IND,39
PS-114,Muhammad Tufail,,IND,38
PS-114,Bilal Khan,,IND,36
PS-114,Habib Ullah,,IND,34
PS-114,Habib Ur Rehman,,IND,34
PS-114,Muhib Ullah Khan,,IND,34
PS-114,Muhammad Waris,,IND,31
PS-114,Nadir Shah,,IND,30
PS-114,Sajjad Ahmed,Butterfly (44),HQM,30
PS-114,Lahore Khan,Tree (295),PKMAP,19
PS-114,Muhammad Pervaiz,,IND,9
PS-114,Arsalan Saleem Khan,,IND,4
PS-115,Ilyas,,PMLSAF,
PS-115,Ali Raza,Iron (147),PRP,
PS-115,Muhammad Saleem,Tractor (292),PML,
PS-115,Ameer Muhammad Kakar,Tree (295),PKMAP,
PS-115,Ahmed Bilal,Kite (159),MQM-P,
PS-115,Sajjad Hussain,Tent (282),MML,
PS-115,Muhammad Tayyab Khan,Scale (232),JIP,
PS-115,Sarfaraz Khan Jadoon,Lantern (162),ANP,
PS-115,Shah Nawaz Jadoon,TABLE میز,IND-PTI,20609
PS-115,Muhammad Asif Khan,Arrow (12),PPP,18939
PS-115,Muhammad Anwar Ul Islam,Crane (71),TLP,6119
PS-115,Sahibzada,,IND,53
PS-116,Sher Muhammad,,MOTP,
PS-116,Syed Bilal Hussain Shah,Crane (71),TLP,
PS-116,Muhammad Shafiq,Iron (147),PRP,
PS-116,Imran,Tiger (284),PML-N,
PS-116,Muhammad Raheel Khan,Kite (159),MQM-P,
PS-116,Rabistan Khan,RACKET ریکٹ,IND-PTI,
PS-116,Muhammad Ilyas Salfi,Tent (282),MML,
PS-116,Muhammad Abul Zia Pervez,Scale (232),JIP,
PS-116,Muhammad Feroze,Eagle (93),IPP,
PS-116,Ahsan Ullah,Lantern (162),ANP,
PS-116,Ali Ahmed,Arrow (12),PPP,7085
PS-116,Hassan Ali,,IND,3640
PS-117,Sheikh Abdullah,Kite (159),MQM-P,11154
PS-117,Tariq Hussain,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,9617
PS-117,Syed Muhammad Rizwan Shah,Scale (232),JIP,5178
PS-117,Qais Mansoor Shiekh,Crane (71),TLP,3093
PS-117,Muhammad Jamil Akhter Khan,,IND,2144
PS-117,Shamim Mumtaz,Arrow (12),PPP,1731
PS-117,Muhammad Sadiq Khan,Tiger (284),PML-N,483
PS-117,Muhammad Mairaj Ali,Fist (105),PPP-SB,123
PS-117,Imran Khan,,IND,115
PS-117,Ruqayya Bibi,Book (31),JUIF,106
PS-117,Sharjeel Baig Mughal,,IND,103
PS-117,Mohsin Mian Siddiqui,,IND,100
PS-117,Muhammad Abid,Iron (147),PRP,85
PS-117,Syed Muhammad Asif Raza,,IND,57
PS-117,Abdi Ali,Eagle (93),IPP,54
PS-117,Umair Rehman Joiya,Star (259),GDA,36
PS-117,Abdul Sattar,,IND,28
PS-117,Muhammad Ameer Hamza,,IND,27
PS-117,Muhammad Ahmed Khan,,IND,18
PS-117,Intisar Ahmed Khan,,IND,17
PS-117,Faizan Hussain,,IND,16
PS-117,Basit Ahmed Siddiqui,,IND,15
PS-117,Moiz Ahmed,,IND,14
PS-117,Bilawal Chandio,,IND,12
PS-117,Junaid Hayat,,IND,10
PS-117,Kaleem Ullah,,IND,9
PS-117,Muhammad Nawaz,,IND,9
PS-117,Muhmmad Ibrahim,,IND,9
PS-117,Muhammad Mubashir Ahmed,,IND,7
PS-117,Raghib Bashir,,IND,7
PS-118,Naseer Ahmed,Kite (159),MQM-P,9740
PS-118,Salih Zada,RACKET ریکٹ,IND-PTI,7136
PS-118,Jan Muhammad Gabool,Arrow (12),PPP,6971
PS-118,Abdul Majeed,Scale (232),JIP,3541
PS-118,Muhammad Khalid,Book (31),JUIF,3404
PS-118,Shaukat Khan,Crane (71),TLP,1458
PS-118,Ahmed Jan,,SKQM,632
PS-118,Muhammad Dawood,Iron (147),PRP,623
PS-118,Amir Nawab,Lantern (162),ANP,622
PS-118,Jamshid Ahmed Khan,,IND,360
PS-118,Abdul Saleem,,IND,358
PS-118,Wahid Ali Khan,Eagle (93),IPP,249
PS-118,Arshad Ali,,IND,249
PS-118,Abdul Qayyum,,IND,239
PS-118,Taimour Ali,Butterfly (44),HQM,203
PS-118,Shakir Ullah,,IND,193
PS-118,Daulat Khan,,IND,179
PS-118,Farhan Jan,Bottle (32),PTI-N,169
PS-118,Rashed Khan,,IND,164
PS-118,Abdul Manan,,IND,157
PS-118,Zar feroz khan,,IND,155
PS-118,Abdul Nabi,,IND,150
PS-118,Muhammad Essa,,IND,132
PS-118,Muhammad Ashraf,,IND,100
PS-118,Shams Ul Akbar,,IND,89
PS-118,Sarfaraz Khan Niazi,,IND,64
PS-118,Abdul latif rind,,IND,43
PS-118,Muhammad Saleem,,IND,27
PS-118,Muhammad Ameer Hamza,,IND,23
PS-119,Ali Khurshidi,Kite (159),MQM-P,22020
PS-119,Saeed Ahmed,AEROPLANE ہوای جہاز,IND-PTI,16326
PS-119,Abdul Hannan Khan,Scale (232),JIP,11765
PS-119,Akram Pervaiz,,IND,7232
PS-119,Tahir Iqbal,Crane (71),TLP,6131
PS-119,Anwar Zaib,Lantern (162),ANP,3523
PS-119,Shahida Rehmani,Arrow (12),PPP,3427
PS-119,Muhammad Arif,,IND,3225
PS-119,Syed Muhammad Jameel,Tiger (284),PML-N,1219
PS-119,Muhammad Adil,Iron (147),PRP,1180
PS-119,Imran Aziz,,IND,728
PS-119,Muhammad Ameer Hamza,,IND,696
PS-119,Abdul Jalil Khan,,IND,528
PS-119,Rooh Ul Amin,,IND,440
PS-119,Attai Rabi,,IND,357
PS-119,Syed Waqar Ahmed,Eagle (93),IPP,247
PS-119,Fahad Imam Malik,,IND,197
PS-119,Muhammad Yahya,Tent (282),MML,179
PS-119,Adnan Anjum,,IND,176
PS-119,Jahangir Sardar,,IND,162
PS-119,Muhammad Aslam Parvaiz,,IND,112
PS-119,Habib Ullah Khan,,PNAP,87
PS-119,Misbah Ul Alam,,IND,84
PS-119,Karim Ullah Khan,,IND,65
PS-119,Taimor Khan,,IND,46
PS-119,Naila Yousuf,,IND,45
PS-119,Farah Raees,,IND,43
PS-119,Abid Khan,,IND,39
PS-12,Suhail Anwar Siyal,Arrow (12),PPP,54077
PS-12,Moazam Ali Khan Abbasi,Star (259),GDA,31850
PS-12,Abdul Razaque,Crane (71),TLP,1517
PS-12,Rafay Ali Abbasi,Tooth Brush (287),IND,1011
PS-12,Ghulam Murtaza,Bottle (32},IND-PTI,549
PS-12,Ali Gul,Scale (232),JIP,391
PS-12,Muhammad Ishaque Mahar,Charpai (56),IND,326
PS-12,Asif Ali,Aeroplane (2),IND,222
PS-12,Shahrukh Khan Siyal,Laptop (163),IND,164
PS-12,Rashid Ali,Door (87),IND,144
PS-12,Zafar Anwar,Peacock (194),IND,97
PS-12,Abdul Rauf Shaikh,Clock (60),IND,55
PS-12,Nazar Ali Mugheri,Motorcycle (179),PAT,52
PS-120,Mazahir Amin Khan,Kite (159),MQM-P,35789
PS-120,Syed Shafiq,RACKET ریکٹ,IND-PTI,21097
PS-120,Nazar Muhammad,Scale (232),JIP,13170
PS-120,Hameed Ullah Khan,Crane (71),TLP,6685
PS-120,M Kifayatullah,Arrow (12),PPP,6591
PS-120,Abdul Kabir,Lantern (162),ANP,4331
PS-120,Mumtaz Khan Tanoli,Tiger (284),PML-N,2630
PS-120,Muhammad Arif,,IND,2600
PS-120,Syed Mairaj Uddin,,IND,2104
PS-120,Muhammad Aslam KK,,IND,1808
PS-120,Aftab Ahmed,,IND,1681
PS-120,Imdad Ali,Tent (282),MML,1394
PS-120,Akhtar Nawaz,Butterfly (44),HQM,1371
PS-120,Muhammad Dawood,,IND,1132
PS-120,Abdul Waqar Khan,,TTP,1069
PS-120,Abdul Hamid,Iron (147),PRP,1042
PS-120,Muhammad Mustafa,,IND,1023
PS-120,Hyder Shah,,IND,956
PS-120,Rehman Uddin,,IND,928
PS-120,Muhammad Ejaz Fazal,,PNP,906
PS-120,Faheem Shehzad,,IND,750
PS-120,shariq naveed,,IND,730
PS-120,Noor Ul Haq Attari,,IND,638
PS-120,Sarwary Iqbal,,PCP,545
PS-120,Kamran Khan,,IND,521
PS-120,Naila Yousuf,,IND,492
PS-120,SOHAIL KHAN,,IND,429
PS-121,Eijaz Ul Haq,Kite (159),MQM-P,26454
PS-121,Shakeel Ahmad,RACKET ریکٹ,IND-PTI,21460
PS-121,Muhammad Mudasir Hussain Ansari,Scale (232),JIP,17592
PS-121,Abid Hussain,Crane (71),TLP,11377
PS-121,Muhammad Aleem,Arrow (12),PPP,3329
PS-121,Naila Yousuf,,IND,2954
PS-121,Syed Muhammad Hasnain,,IND,938
PS-121,Mohi Uddin,,IND,837
PS-121,Niaz Ahmed Malik,Tiger (284),PML-N,739
PS-121,Abdul Rehman,Tent (282),MML,500
PS-121,Syed Muhammad Saleem,,IND,416
PS-121,Muhammad Nadeem,,IND,334
PS-121,Tariq Iqbal,,IND,288
PS-121,Rizwan Ali Khan,,IND,206
PS-121,Muhammad Irfan,,IND,205
PS-121,Irfan Karim,Fish (104),PMA,188
PS-121,Abid Khan,,IND,183
PS-121,Obaid Ur Rehman Khan,,IND,154
PS-121,Muhammad Adnan Khan,,IND,151
PS-121,Muhammad Ali,,IND,145
PS-121,Muhammad Aqeel Khan,,IND,135
PS-121,Syed Muhammad Arshad,Star (259),GDA,118
PS-121,Muhammad Javed,,IND,111
PS-121,Naveed Iqbal,,IND,80
PS-121,Ghulam Qadir,,IND,61
PS-121,Waqar Ahmad,,IND,60
PS-122,Rehan Akram,Kite (159),MQM-P,48170
PS-122,Farhan Saleem,RACKET ریکٹ,IND-PTI,23018
PS-122,Qazi Syed Sadaruddin,Scale (232),JIP,19437
PS-122,Syed Muhammad Asif Raza,,IND,6013
PS-122,Syed Masroor Ahsan,Arrow (12),PPP,5714
PS-122,Muhammad Yaqoob,Crane (71),TLP,3854
PS-122,Muhammad AshrafJabbar,,IND,3736
PS-122,Irfan Khan,Tiger (284),PML-N,1031
PS-122,Mahmood UI Hassan,Iron (147),PRP,778
PS-122,Syed Abbas Hasnain,,IND,428
PS-122,Muhammad Danish,,RJUI,371
PS-122,Syed Zafar Hassan,,IND,327
PS-122,Muhammad Wajahat Ali,,IND,213
PS-122,Muhammad Ahmer Khan,,IND,185
PS-122,Imran,,IND,145
PS-122,Saqib Iqbal,,IND,143
PS-122,Hafiz Ahmed Ali,,IND,59
PS-122,Muhammad Javed Abbasi,,IND,49
PS-122,Fareed Uddin Chishti,,IND,44
PS-122,Tanzeela Khurram,Star (259),GDA,40
PS-122,Muhammad Waseem,,IND,38
PS-122,Muhammad Naeem,,IND,37
PS-122,Deen Muhammad,,SKQM,33
PS-122,Asmat Khan Sherani,Lantern (162),ANP,33
PS-122,Rahat Hussain Siddiqui,,IND,31
PS-122,Kamran Zaheer,,IND,19
PS-122,Muhammad Shahid Ghani,,IND,9
PS-123,Muhammad Abid,,RJUI,
PS-123,Imtiaz Ahmed,AEROPLANE ہوای جہاز,IND-PTI,
PS-123,Muhammad Farooq,Crane (71),TLP,
PS-123,Muhammad Farooq,Crane (71),TLP,
PS-123,Waseem Uddin Qureshi,Arrow (12),PPP,
PS-123,Khalid Mumtaz,Tiger (284),PML-N,
PS-123,Muhammad Faisal,Tent (282),MML,
PS-123,Abod Shahid,Eagle (93),IPP,
PS-123,Shehnaz Jameel,Star (259),GDA,
PS-123,Ishtiaq Khan,Lantern (162),ANP,
PS-123,Abdul Waseem,Kite (159),MQM-P,17526
PS-123,Muhammad Akbar,Scale (232),JIP,13117
PS-123,Daud Ahmed Fakhri,,PCP,6
PS-124,Abdul Basit,Kite (159),MQM-P,31035
PS-124,Muhammad Ahmed,Scale (232),JIP,18438
PS-124,Muhammad Wajahat Ali,P,IND-PTI,15770
PS-124,Muhammad Amjid Ali,Crane (71),TLP,9626
PS-124,Muhammad Amjad Ali,Crane (71),TLP,9626
PS-124,Abdul Ghaffar,Iron (147),PRP,2650
PS-124,Munawar Nawab,,IND,2501
PS-124,Wilayat Ali,,IND,1642
PS-124,Muhammad Faizan Saeed,Arrow (12),PPP,1465
PS-124,Rabina Shabbir,,IND,1131
PS-124,Nisar Ahmad,,IND,456
PS-124,Muhammad Tayyab Hussain,,IND,413
PS-124,Muhammad Ahmad Mian,,IND,370
PS-124,Kamran,,IND,329
PS-124,Muhammad Ismail,,IND,301
PS-124,Muhammad Akbar Qureshi,,IND,287
PS-124,Muhammad Aslam,Tent (282),MML,233
PS-124,Muhammad Danish,,RJUI,169
PS-124,Asad Jawed Khan,,IND,160
PS-124,Shoaib Wakeel,,IND,141
PS-124,Farhan Saleem,,IND,103
PS-124,Zain Ul Abedin,,IND,98
PS-124,Muhammad Arslan Khan,Fish (104),PMA,66
PS-124,Saher Tabassum,Star (259),GDA,48
PS-124,Rashid Zamir Khan,,IND,47
PS-124,Nadir Latif Khilji,,IND,38
PS-124,Usman Farooq,,IND,31
PS-125,Salman Muhammad,Candle (50),MQM,
PS-125,Sheikh Mansoor Ahmad,,AATP,
PS-125,Anwer Hussain,Iron (147),PRP,
PS-125,Muhammad Irfan Khan,Eagle (93),IPP,
PS-125,Sumair Ali Khanzada,Star (259),GDA,
PS-125,Syed Adil Askari,Kite (159),MQM-P,63812
PS-125,Muhammad Farooq Naimatullah,Scale (232),JIP,49943
PS-125,Fauzia Siddiqui,P,IND-PTI,39554
PS-125,Syed Muhammad Naqi,Arrow (12),PPP,3441
PS-125,Tahir Ali Zuberi,Crane (71),TLP,2008
PS-125,Kazim Raza,,IND,6
PS-126,Muhammad Iftikhar Alam,Kite (159),MQM-P,38729
PS-126,Nusrat Ullah,Scale (232),JIP,25835
PS-126,Sheraz Ahmed Nagani,GUITAR گٹار,IND-PTI,18757
PS-126,Nasir Ahmed,Crane (71),TLP,7755
PS-126,Abid Hussain Qureshi,,IND,7364
PS-126,Shahzad Majeed,Arrow (12),PPP,3624
PS-126,Dua Masood,,IND,1710
PS-126,Syed Muhammad Jahanzaib,,IND,1702
PS-126,Asghar Ali,,IND,1496
PS-126,Muhammad Adrees,,IND,1287
PS-126,Wajahat Ali Khan,Star (259),GDA,656
PS-126,Rana Muhammad Waseem Akram,,IND,546
PS-126,Shaikh Muhammad Owais Karni,,IND,483
PS-126,Jarand Hamdani,Tent (282),MML,472
PS-126,Ghazala,,IND,154
PS-126,Abdul Samad,,IND,145
PS-126,Rafia Ahsan,,IND,129
PS-126,Shahid Kath,,IND,102
PS-126,Moiz Bin Zahid,,IND,98
PS-126,Muhammad Wajahat Ali,,IND,98
PS-126,Abdullah Khan,,IND,74
PS-126,Atta Ul Mustafa Jameel Rathoo,,IND,74
PS-126,Misbah,,IND,56
PS-126,Syed Bilal Ali,,IND,34
PS-126,Abdul Samad Khan,Fish (104),PMA,28
PS-127,Muhammad Maaz Mehboob,Kite (159),MQM-P,23389
PS-127,Muhammad Masood Ali,Scale (232),JIP,12642
PS-127,Shaikh Mehboob Jilani,P,IND-PTI,10380
PS-127,Salman Haider,Crane (71),TLP,5278
PS-127,Osama Anjum Alim,,IND,4313
PS-127,Rizwan Rafique,Arrow (12),PPP,2526
PS-127,Muhammad Younas,,IND,463
PS-127,Syed Muhammad Urooj,Eagle (93),IPP,384
PS-127,Tahir Akram,Star (259),GDA,346
PS-127,Mohsin Javed Dar,Tiger (284),PML-N,340
PS-127,Anis Ahmed,,IND,293
PS-127,Asif Ahmed,,PDP,276
PS-127,Maqsood Alam,,IND,215
PS-127,Abid Hussain Qureshi,,IND,198
PS-127,Muhammad Hamza,,IND,187
PS-127,Mushtaq Ahmed Niazi,,IND,136
PS-127,Jahanzaib Alam,,IND,129
PS-127,Hafiz Muhammad Shafee Shakeel,,IND,96
PS-127,Dua Masood,,IND,33
PS-127,Khalid,,IND,23
PS-128,Qazi Ahsan Qamar,Tractor (292),PML,
PS-128,Asma,Tent (282),MML,
PS-128,Taha Ahmed khan,Kite (159),MQM-P,34417
PS-128,Syed Wajeeh Hassan,Scale (232),JIP,18588
PS-128,Saqib Iqbal,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,8987
PS-128,Khurram Saeed khan,,IND,3494
PS-128,Muhammad Saleem Khan,,IND,3357
PS-128,Muhammad Arif Hussain Qureshi,Arrow (12),PPP,3099
PS-128,Muhammad Irfan,Crane (71),TLP,2261
PS-128,Muhammad Khalid,Iron (147),PRP,726
PS-128,Muhammad Moin Ud Din,,IND,433
PS-128,Abdul Aleem Siddiqui,,IND,415
PS-128,Riaz Ali,,IND,204
PS-128,Nusrah Kamran,,IND,187
PS-128,Muhammad Ashraf Qureshi,,MJAH-P,171
PS-128,M Zaka Ur Rehman Khan,,IND,170
PS-128,Fazal Qayyum,Lantern (162),ANP,166
PS-128,Rubina Javed,,IND,163
PS-128,Syed Umer Karim Farooq,,IND,146
PS-128,Nighat Rashid Khan,,ALI,143
PS-128,Ali Mansoor,Eagle (93),IPP,139
PS-128,Ghulam Sarwar,,IND,104
PS-128,Hania Hamdani,,IND,91
PS-128,Danish,,IND,71
PS-128,NASIR UDDIN MEHMOOD,,IND,62
PS-128,Summayya Atif,,IND,60
PS-128,Sohail Ahmad,,IND,27
PS-128,Faryal Yousuf,,IND,26
PS-128,Muhammad Aslam Gujjar,,IND,25
PS-128,Ali Hamza,,IND,22
PS-128,Abdul Rehman Hassan Zai,,IND,19
PS-128,Salman Khan,,IND,13
PS-129,Muhammad Irshad,Fish (104),PMA,
PS-129,Hafiz Naeem Ur Rehman,Scale (232),JIP,26926
PS-129,Maaz Mukaddam,Kite (159),MQM-P,20608
PS-129,Muhammad Asad Hanif,Arrow (12),PPP,15014
PS-129,Saif Bari,DOVE فاختہ,IND-PTI,11357
PS-129,Farah Farooqui,,IND,2361
PS-129,Muhammad Aslam Khan,Tiger (284),PML-N,2106
PS-129,Muhamad Ahmed Hassan Raza,Crane (71),TLP,1427
PS-129,Mustafa Karani,,IND,651
PS-129,Ghulam Rasool,,IND,606
PS-129,Qayyum Khan,Lantern (162),ANP,437
PS-129,Muhammad Iqbal Ahmed,Tent (282),MML,346
PS-129,Muhammad Suleman,,IND,292
PS-129,Abod Shahid,Eagle (93),IPP,248
PS-129,Ghulam Sarwar,,IND,182
PS-129,Syed Faisal Ali,,IND,127
PS-129,Fazal Qayyum,,IND,123
PS-129,Shaikh Muahmmad Hamza Javed,,IND,116
PS-129,Syed Ayaz Ali,,IND,111
PS-129,Zulfiqar Khan,,IND,110
PS-129,Aisha Sohail,,IND,108
PS-129,Muhammad Imran,,IND,98
PS-129,Saeed Ur Rehman,,IND,96
PS-129,Sheikh Faisal Aijaz,,IND,86
PS-129,Aziz Fatima,,PDP,83
PS-129,Syed Azeem Shah,,IND,78
PS-129,Salman Iqbal Khan,,IND,59
PS-129,Aamir Zia,,JUPNI,47
PS-129,Naveed Alam Siddiqui,,IND,45
PS-129,Masroor Ahmed Khan,,IND,41
PS-129,Muhammad Owais Rabbani,,IND,33
PS-129,Aleem Uddin Rathore,Star (259),GDA,27
PS-129,Arshad Ali,,IND,19
PS-129,Abdul Samad,,IND,15
PS-129,Samina Nourin,,IND,15
PS-129,Muhammad Adil Siddiq,,IND,12
PS-129,Waqas Ali Khan,,IND,7
PS-13,Adil Altaf Unar,Arrow (12),PPP,89662
PS-13,Naseer Muhammad,Book (31),JUIF,4028
PS-13,Liaquat Ali Mirani,Dove (88),IND,2165
PS-13,Zubair Ahmed,Crane (71),TLP,1905
PS-130,Jamal Ahmed,Kite (159),MQM-P,38884
PS-130,Haris Ali Khan,Scale (232),JIP,19366
PS-130,Syed Faisal Ali,DOVE,IND-PTI,19089
PS-130,Ayaz Ahmed Ghori,,IND,3079
PS-130,Muhammad Rizwan,Arrow (12),PPP,1964
PS-130,Shahrukh Zafar,Crane (71),TLP,1707
PS-130,Naseem Akhtar,,IND,1497
PS-130,Muhammad Jahanzaib Alam,Tiger (284),PML-N,804
PS-130,Sardar Muahmmad Iqbal Khan,Eagle (93),IPP,775
PS-130,Taimoor Saeed Khan,,IND,681
PS-130,Muhammad Ali Khan Sherwani,,IND,459
PS-130,Siraj Uddin,Lantern (162),ANP,274
PS-130,Aimal Khan,Tree (295),PKMAP,250
PS-130,Muhammad Tehamas Ali Khan,,IND,249
PS-130,Marium Salman,,IND,168
PS-130,Ulas Yar Khan,,IND,93
PS-130,Faisal Rehman,Tent (282),MML,90
PS-130,Nadeem Akhtar Siddiqui,,IND,86
PS-130,Muhammad Anwar,,IND,81
PS-130,Farhan Shamim,,IND,48
PS-130,Muhammad Faran Khan,,IND,32
PS-130,Muhammad Imran,Fish (104),PMA,29
PS-130,Mehran,,SKQM,28
PS-130,Muhammad Hassan Khan,,IND,27
PS-130,Fakhar Abbas,,IND,26
PS-130,Muhammad Athar Usmani,,IND,24
PS-130,Farwa Haneef,,IND,21
PS-130,Muhammad Adil Siddiq,,IND,21
PS-130,Abdul Sattar,,IND,18
PS-130,Kazim Raza,,IND,14
PS-130,Masroor Ahmed Khan,,IND,11
PS-130,Umme Hani,,IND,10
PS-130,Abdul Waheed,,IND,5
PS-14,Nadir Ali Magsi,Arrow (12),PPP,38473
PS-14,Muzafar Ali Brohi,Star (259),GDA,20422
PS-14,Naheed,Aeroplane (2),IND-PTI,2840
PS-14,Ghulam Hussain Jakhro,Iron (147),PRP,1125
PS-14,Mehboob Ali,Crane (71),TLP,862
PS-14,Imtiaz Ahmed Shaikh,Scale (232),JIP,726
PS-14,Muhammad Ayub Khoso,Tooth Brush (287),IND,721
PS-14,Shafi Muhammad Brohi,Fork (109),IND,690
PS-14,Abdul Wahab Khoso,Peacock (194),IND,107
PS-14,Abdul Aziz,Charpai (56),IND,58
PS-15,Nisar Ahmed Khuhro,Arrow (12),PPP,44810
PS-15,Mir Humayun Khan,Tiger (284),PML-N,17211
PS-15,Muhammad Ishaque,Iron (147),PRP,2351
PS-15,Momal,Crane (71),TLP,1669
PS-15,Mushtaq Ali Jatoi,,ITP,635
PS-15,Shahabuddin,Rabab (212),IND,550
PS-15,Nazir Ahmed,Fist (105),PPP-SB,407
PS-15,Sheehaque Khan,Tent (282),MWM,365
PS-15,Saleem Raza,Slate (248),IND,324
PS-15,Qamaruddin,Peacock (194),IND,187
PS-15,Muhammad Muzzamil,Door (87),IND,158
PS-15,Niaz Ali Chandio,Bottle (32),IND,137
PS-15,Sadam Hussain,Computer (67),IND,121
PS-15,Laila Amber khuhawar,Racket (214),IND,106
PS-15,Ghulam Mustafa Brohi,Kite (159),MQM-P,75
PS-15,Aftab Hussain Joyo,Clock (160),IND,41
PS-15,Kamran Gorar,Water Cooler (317),IND,40
PS-16,Nawabzada Sardar Khan Chandio,Arrow (12),PPP,38057
PS-16,Muhammad Ali Hakro,Aeroplane (2),IND-PTI,12581
PS-16,Abdul Hakeem,Crane (71),TLP,1636
PS-16,Ranjhan Ali Chandio,Clock (60),IND,1399
PS-16,Syed Sikander Shah,Laptop (163),IND,630
PS-16,Abdul Monnium Khan Chandio,Hand Pump (130),IND,402
PS-16,Ghulam Mustafa Sheikh,Peacock (194),IND,383
PS-16,Nawabuddin,Fist (105),PPP-SB,302
PS-16,Ghuhram Khan,Bed (23),IND,258
PS-16,Fazal Muhammad Kamalani,Slate (248),IND,236
PS-16,Saddam Hussain Wako,Goat (123),IND,132
PS-16,Shah Nawaz Soomro,Iron (147),PRP,114
PS-16,Abdul Manan Chandio,Bottle (32),IND,112
PS-16,Ahmed Ali Buriro,Kite (159),MQM-P,102
PS-17,Burhan Chandio,Arrow (12),PPP,43885
PS-17,Javed Hussain Khokhar,Star (259),GDA,21658
PS-17,Seengar Ali,Bulb (40),AWP,1105
PS-17,Ghulam Siddique,Crane (71),TLP,1013
PS-17,Nawabzada Rehan Chandio,Medal (173),IND,547
