KPK Assembly,Name of candidate,Party Affiliation,Symbol allocated,Number of Votes Polled,Casted men,Casted Women,Rejected Votes,Number of Votes Polled,Registered Males,Registered Females,total voters registered,Turnout %
PK-17,muhammad din jan,Independent,Pomegranate (208),45,,,,,,,,
PK-17,muhammad hasham khan,Independent,Racket (214),56,,,,,,,,
PK-17,Nazir khan,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),936,,,,,,,,
PK-18,Bakht Badshah,Independent,Tower (291),30,,,,,,,,
PK-18,Habib ur rahim,Independent,Pomegranate (208),14,,,,,,,,
PK-18,Saeed Gul,Jamaat-e-Islami Pakistan,Scale (232),16059,,,,,,,,
PK-18,Gul Hamesh,Jamiat Ulama-e-Islam Pakistan,Book (31),197,,,,,,,,
PK-18,Liaqat Ali Khan,Independent - PTI,Clock (60),24625,,,,,,,,
PK-18,Mubarak Shah,Awami National Party,Lantern (162),1852,,,,,,,,
PK-18,Muhammad Zaman Khan,Pakistan Muslim League (N),Tiger (284),229,,,,,,,,
PK-18,Muhammad Yaseen,Pakistan Markazi Muslim League,Chair (55),42,,,,,,,,
PK-18,Malak Abdullah Shah,Independent,Cricket strumps (73),4194,,,,,,,,
PK-18,Wazir Zada,Pakistan Peoples Party Parliamentarians,Arrow (12),2214,,,,,,,,
PK-19,Ikram Khan,Pakistan Muslim League (N),Tiger (284),962,,,,,,,,
PK-19,Hikmat Ullah Khan,Awami National Party,Lantern (162),1506,,,,,,,,
PK-19,Hamid ur Rehman,Independent - PTI,Clock (60),23044,,,,,,,,
PK-19,Khalid Khan,Independent,Aeroplane (2),13571,,,,,,,,
PK-19,Rahim Dad khan,Independent,Bed (23),60,,,,,,,,
PK-19,Said Rahim shah,Mazloom Olsi Tehreek Pakistan,Pitcher (204),108,,,,,,,,
PK-19,Muhammad Ayaz,Jamaat-e-Islami Pakistan,Scale (232),12781,,,,,,,,
PK-20,Anwar Zeb Khan,Independent - PTI,Sickle (246),12903,,,,,,,,
PK-20,Burhan Ud din,Muttahida Qomi Movement Pakistan,Kite (159),110,,,,,,,,
PK-20,Syed AKhunzada Chattan,Pakistan Peoples Party Parliamentarians,Arrow (12),1865,,,,,,,,
PK-20,Shahid Azam,Tehreek-e-Darveshan pakistan,Waist coat (314),115,,,,,,,,
PK-20,Shahab Ud Din khan,Pakistan Muslim League (N),Tiger (284),6945,,,,,,,,
PK-20,Sher Ahmad,Jamiat Ulama-e-Islam Pakistan,Ladder (161),38,,,,,,,,
PK-20,Abdur Rashid,Jamiat Ulama-e-Islam Pakistan,Book (31),6438,,,,,,,,
PK-20,Gul Afzal,Awami National Party,Lantern (162),4855,,,,,,,,
PK-20,Muhammad Saeed Khan,Independent,Dove (88),171,,,,,,,,
PK-20,Muambar Khan,Independent,Teapot (279),56,,,,,,,,
PK-20,Wahid Gul,Jamaat-e-Islami Pakistan,Scale (232),13039,,,,,,,,
PK-21,Ajmal Khan,Independent - PTI,Pressure Cooker (209),15713,,,,,,,,
PK-21,Badshah Rawan,Independent,Cricket strumps (73),89,,,,,,,,
PK-21,Juma Said,Independent,Bowl (34),2080,,,,,,,,
PK-21,Hazoor Khan,Independent,Dove (88),23,,,,,,,,
PK-21,Rasheed Khan,Awami National Party,Lantern (162),2878,,,,,,,,
PK-21,Zair Muhammad,Mazloom Olsi Tehreek Pakistan,Pitcher (204),302,,,,,,,,
PK-21,Sardar Khan,Jamaat-e-Islami Pakistan,Scale (232),16844,,,,,,,,
PK-21,Sami ullah,Independent,Kettle (153),95,,,,,,,,
PK-21,Shakir Ullah,Independent,Charpai (56),2076,,,,,,,,
PK-21,Shah Saleem khan,Independent,Pomegranate (208),78,,,,,,,,
PK-21,Umar Wahid,Independent,Bed (23),97,,,,,,,,
PK-21,Muhammad Asghar,Pashtoonkhwa Milli Awami Party,Tree (295),243,,,,,,,,
PK-21,Muhammad Anees khan,Independent,Study table with chair (263),609,,,,,,,,
PK-21,Muhammad Shakil khan,Pakistan Peoples Party Parliamentarians,Arrow (12),2294,,,,,,,,
PK-21,Muhammad Tariq,Jamiat Ulama-e-Islam Pakistan,Book (31),2818,,,,,,,,
PK-21,Muhammad Zahoor Khan,Pakistan Muslim League (N),Tiger (284),865,,,,,,,,
PK-21,Mumtaz Ahmad Jan,Independent,Clock (60),28,,,,,,,,
