KPK Assembly,Name of candidate,Party Affiliation,Symbol allocated,Number of Votes Polled,Casted men,Casted Women,Rejected Votes,Number of Votes Polled,Registered Males,Registered Females,total voters registered,Turnout %
PK-84,Kamran Khan,Independent,Aeroplane (2),94,,,,,,,,
PK-84,Kiramat Ullah Khan Moomand,Pashtoonkhwa Milli Awami Party,Tree (295),218,,,,,,,,
PK-84,Lal Zaman,Mazloom Olsi Tehreek Pakistan,Pitcher (204),136,,,,,,,,
PK-84,Muzammil Khan,Independent,Parrot (193),28,,,,,,,,
PK-84,Mustaqeem Shah,Independent,Charpai (56),109,,,,,,,,
PK-84,Malak Noshad Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),5966,,,,,,,,
PK-84,Nasru Men Ullah,Jamaat-e-Islami Pakistan,Scale (232),1947,,,,,,,,
PK-84,Noor Elahi Khan,Independent,Match Box (172),199,,,,,,,,
PK-85,Hakim Ali Haqqani,Jamiat Ulama-e-Islam Pakistan,Book (31),9837,,,,,,,,
PK-85,Hamid Ali Khan,Awami National Party,Lantern (162),11056,,,,,,,,
PK-85,Zar Alam Khan,Independent - PTI,Dove (88),32075,,,,,,,,
PK-85,Shah Waiz Khan Khattak,Independent,Suitcase (264),462,,,,,,,,
PK-85,Inayat Ur Rahman,Jamaat-e-Islami Pakistan,Scale (232),1940,,,,,,,,
PK-85,Liaquat Wali,Pakistan Muslim League (N),Tiger (284),2667,,,,,,,,
PK-85,Muhammad Ibrahim Khattak,Pakistan Tehreek-eInsaf Parliamentarian (PTIP),Turban (305),2000,,,,,,,,
PK-85,Muhammad Ayaz,Independent,Peacock (194),7771,,,,,,,,
PK-85,Mehmood Ahmad,Tehreek Labbaik Pakistan,Crane (71),491,,,,,,,,
PK-85,Nisar Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),1265,,,,,,,,
PK-86,Parvez Ahmad Khan,Jamiat Ulama-e-lslam Pakistan,Book (31),8846,,,,,,,,
PK-86,Syed Zulfiqar Ali Shah,Pakistan Muslim League (N),Tiger (284),7176,,,,,,,,
PK-86,Shah Waiz Khan Khattak,Independent,Letter Box (165),183,,,,,,,,
PK-86,Faraheem,Jamaat-e-Islami Pakistan,Scale (232),645,,,,,,,,
PK-86,Muhammad Idrees,Independent - PTI,Feather (102),38030,,,,,,,,
PK-86,Muhammad Ismail Khattak,Pakistan Tehreek-eInsaf Parliamentarian (PTIP),Turban (305),8192,,,,,,,,
PK-86,Masood Abbas,Awami National Party,Lantern (162),12860,,,,,,,,
PK-86,Malak Fayaz Ur Rahman,Independent,Clock (60),321,,,,,,,,
PK-86,Walayat Khan,Independent,Table Tennis Bat(273),79,,,,,,,,
PK-87,Israr Ali Durrani,Independent,Charpai (56),388,,,,,,,,
PK-87,Amin Akbar,Independent,Clock (60),13897,,,,,,,,
PK-87,Bibi Saeeda,Independent,Transformer (294),273,,,,,,,,
PK-87,Parvez Khattak,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),18176,,,,,,,,
PK-87,Khaliq Ur Rahman,Independent - PTI,Dove (88),44762,,,,,,,,
PK-87,Zulfiqar Ali,Independent,Aeroplane (2),374,,,,,,,,
PK-87,Rizwan Ullah Khattak,Jamaat-e-Islami Pakistan,Scale (232),4851,,,,,,,,
PK-87,Saeed Zaman,Pakistan Muslim League (N),Tiger (284),893,,,,,,,,
PK-87,Zahoor Ahmad,Independent,Racket (214),174,,,,,,,,
PK-87,Liaqat Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),12322,,,,,,,,
PK-87,Muhammad Altaf Uddin,Awami National Party,Lantern (162),1424,,,,,,,,
PK-87,Muhammad Shahzeb,Pakistan Aam Admi Movement,Flower Pot (107,307,,,,,,,,
PK-87,Muhammad Shoaib Ahmad,Green Democratic Party,Sun (265),171,,,,,,,,
PK-87,Muhammad Abdullah Khattak,Pakistan Peoples Party Parliamentarians,Arrow (12),2491,,,,,,,,
PK-87,Nadia Ambreen Khattak,Independent,Cricket Stumps (73),57,,,,,,,,
PK-87,Nisar Ahmad Khattak,Barabri Party Pakistan,Pen (195),107,,,,,,,,
PK-88,Ahad Khattak,Jamiat Ulama-e-Islam Pakistan,Book (31),12071,,,,,,,,
PK-88,Ikhtiar Wali,Pakistan Muslim League (N),Tiger (284),5688,,,,,,,,
PK-88,Pervez Khattak,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),9009,,,,,,,,
PK-88,Jamshaid Khan,Awami National Party,Lantern (162),4822,,,,,,,,
PK-88,Sajid lqbal,Independent,Cricket Stumps (73),1125,,,,,,,,
PK-88,Safdar Ali Shabab,Pakistan Peoples Party Parliamentarians,Arrow (12),710,,,,,,,,
PK-88,Atta Ullah,Jamaat-e-Islami Pakistan,Scale (232),1276,,,,,,,,
PK-88,Falak Nawaz,Independent,Table Tennis Bat (273),51,,,,,,,,
PK-88,Muhammad llyas,Independent,Aeroplane (2),121,,,,,,,,
PK-88,Malik Saddam,Independent,Peacock (194),89,,,,,,,,
PK-88,Mian Sarwar Muzaffar Shah,Independent,Charpai (56),70,,,,,,,,
PK-88,Mian Muhammad Umar,Independent - PTI,Badge (161,38384,,,,,,,,
PK-88,Wisal Hayat,Pakistan Nazaryati Party,Railway Engine (216),169,,,,,,,,
PK-89,Ibrahim Shah,Independent,Cricket Stumps (73),81,,,,,,,,
PK-89,Akhtar Ali,Independent,Charpai (56),44,,,,,,,,
PK-89,Ishfaq Ahmad,Independent - PTI,Key Chain(155),30416,,,,,,,,
PK-89,Zulfiqar Aziz,Independent,Wall(315),93,,,,,,,,
PK-89,Sami Ur Rehman,Jamaat-e-Islami Pakistan,Scale (232),1242,,,,,,,,
PK-89,Shah Faisal,Independent,Laptop(163),275,,,,,,,,
PK-89,Amir Elahi,Independent,Aeroplane (2),119,,,,,,,,
PK-89,Abdullah Shah,Independent,Brick(35),141,,,,,,,,
PK-89,Imran Khattak,Pakistan Tehreek-e-Insaaf Parlimtaran,Turban(305),13717,,,,,,,,
PK-89,Muhammad Saad Khattak,Pakistan Aam Admi Movement,Flower Pot(107),362,,,,,,,,
PK-89,Muhammad Shafiq,Tehreek Labbaik Pakistan,Crane(71),8525,,,,,,,,
PK-89,Muhammad Alam Sharif,Pakistan Muslim League(N),Tiger (284),2188,,,,,,,,
PK-89,Munawar Kamal,Pakistan Peoples Party Parliamentarians,Arrow(12),1334,,,,,,,,
PK-89,Mian Iftikhar Hussain,Awami National Party,Lantern (162),15630,,,,,,,,
PK-89,Mian Zulfiqar Ali,Jamiat Ulama-e-Islam Pakistan,Book (31),10385,,,,,,,,
PK-89,Nadia Ambreen Khattak,Independent,Queen(211),52,,,,,,,,
PK-90,Abubakar,Independent,Clock (60),207,,,,,,,,
PK-90,Aman Ullah,Independent,Racket (214),94,,,,,,,,
PK-90,Amjad Khan Afridi,Pakistan Peoples Party Parliamentarians,Arrow (12),"33,785",,,,,,,,
PK-90,Aftab Alam Afridi,Independent - PTI,Brinjal (37),"41,043",,,,,,,,
PK-90,Junaid Ullah,Independent,Aeroplane (2),370,,,,,,,,
PK-90,Dilber Khan,Pakistan Tehreek-E-Insaf Parliamentarian (PTIP),Turban (305),253,,,,,,,,
PK-90,Saif Ullah Madani,Tehreek Labbaik Pakistan,Crane (71),746,,,,,,,,
PK-90,Abdul Qadeer Khan,Independent,Kettle (153),21,,,,,,,,
PK-90,Umer Hayat,Independent,Pomegranate (208),"1,131",,,,,,,,
PK-90,Ghias Ud Din,Independent,Brush (38),52,,,,,,,,
PK-90,Liaqat Khattak,Independent,Bowl (34),25,,,,,,,,
PK-90,Muhammad Shoaib,Jamat Ulama-e-Islam Pakistan,Book (31),"11,918",,,,,,,,
PK-90,Muhammad Karim,Independent,Laptop (163),,,,,,,,,
PK-90,Muhammad Haroon,Independent,Dove (88),51,,,,,,,,
PK-90,Nazia Bibi,Jamaat-e-Islami Pakistan,Scale (232),302,,,,,,,,
PK-90,Yaqoob Khan,Awami National Party,Lantern (162),"1,157",,,,,,,,
PK-91,Iqbal Din,Jamiat Ulama-e-Islam Pakistan,Book (31),,,,,,,,,
PK-91,Akbar Jan,Independent,Slate (248),,,,,,,,,
PK-91,Imtiaz Shahid,Independent,Bowl (34),,,,,,,,,
PK-91,Daud Shah,Independent - PTI,Racket (214),,,,,,,,,
PK-91,Dilbar Khan,Pakistan Tehreek-e- Insaf Parliamentarian (PTIP),Turban (305),,,,,,,,,
PK-91,Saif Ur Rehman,Independent,Magnifying Glass (171),,,,,,,,,
PK-91,Saifullah Khan,Independent,Aeroplane (2),,,,,,,,,
PK-91,Sofia Bano,Jamaat-e-Islami Pakistan,Scale (232),,,,,,,,,
PK-91,Abbas Afridi,Pakistan Muslim League (N),Tiger (284),Election Postoned,,,,,,,,
PK-91,Abdul Samood,Independent,Spoon (255),,,,,,,,,
PK-91,Asmat Ullah Khan,Awami National Party,Lantern (162),,,,,,,,,
PK-91,Muhammad Rehman,Independent,Tandoor (276),,,,,,,,,
PK-91,Muhammad Zahir,Pakistan Markazi Muslim League,Chair (55),,,,,,,,,
PK-92,Johar Muhammad Khan Bangash,Jamiat Ulama-e-Islam Pakistan,Book (31),12083,,,,,,,,
PK-92,Zahid Ullah,Rabita Jamiat Ulma-eIslam (RJUI),R rag (220),68,,,,,,,,
PK-92,Zar Wall Shah,Tehreek Labbaik Pakistan,Crane (71),204,,,,,,,,
PK-92,Syed Zulfiqar Ali,Pakistan Peoples Party Parliamentarians,Arrow (12),4376,,,,,,,,
PK-92,Shafi Ullah Jan,Independent - PTI,Phole Gobhi (199),42254,,,,,,,,
PK-92,Shehneela,Jamaat-e-Islami Pakistan,Scale (232),245,,,,,,,,
PK-92,Zia Ullah Khan,Pakistan Tehreek-eInsaf Parliamentarian (PTIP),Turban (305),13609,,,,,,,,
PK-92,Farooq Zaman Shinwari,Independent,Cricket Stumps (73),33,,,,,,,,
PK-92,Fareeda Bukhara,Independent,Aeroplane (2),65,,,,,,,,
PK-92,Faheem Shah,Independent,Lotus (168),448,,,,,,,,
PK-92,Masood Khan,Awami National Party,Lantern (162),921,,,,,,,,
PK-93,Ulfat Hussain,Independent,Suitcase (264),210,,,,,,,,
PK-93,Aman Ullah Khan,Awami National Party,Lantern (162),6562,,,,,,,,
PK-93,Hazrat Umar,Independent,Teapot (279),82,,,,,,,,
PK-93,Riaz Ali,Independent,Match Box (172),853,,,,,,,,
PK-93,Shah Abu Torab Khan Bangash,Independent - PTI,Badge (16),31136,,,,,,,,
PK-93,Shah Faisal Khan,Independent,Dove (88),2814,,,,,,,,
PK-93,Sadiq Ur Rehrndn,Independent,Pomegranate 1208),53,,,,,,,,
PK-93,Zafar Rehman,Independent,Tap (277),6010,,,,,,,,
PK-93,Abdul Qayyum,Jamaat-e-Islami Pakistan,Scale (232),95,,,,,,,,
PK-93,Atique ur Relimun,Independent,Bowl (341,14006,,,,,,,,
PK-93,Qari Wajeed Rehman,Pakistan Muslim League (N),Tiger (284),50,,,,,,,,
PK-93,Gul Sana Din,Independent,Aeroplane (2),78,,,,,,,,
PK-93,Muhammad Ibrahim Khan,Independent,Coat (123),51,,,,,,,,
PK-93,Muhammad Anwar,"Pakistan People Parllamentaria,",Arrow (12),498,,,,,,,,
PK-93,Muhammad Tufail,Independent,Nail Cutter (182),50,,,,,,,,
PK-93,MoIvi Tehsin Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),16933,,,,,,,,
PK-94,Aurangzeb Khan,Independent - PTI,Human Eye (142),18648,,,,,,,,
PK-94,Bakhtiar Khan,Independent,Bowl (34),1348,,,,,,,,
PK-94,Baseerat Khan,Pakistan Muslim League (N),Tiger (284),16,,,,,,,,
PK-94,Jawad Hussain,Pakistan Peoples Party Parliamentarians,Arrow (12),7592,,,,,,,,
PK-94,Johar Abbas,Independent,Pomegranate (208),7027,,,,,,,,
PK-94,Habib Noor,Pakistan Tehreek-eInsaf Parliamentarian (PTIP),Turban (305),27,,,,,,,,
PK-94,Dast Ali Jan,Independent,Laptop (163),477,,,,,,,,
PK-94,Din Badshah,Independent,Water Tank (319),8,,,,,,,,
PK-94,Razi Ali Shah,Independent,Stethoscope (260),79,,,,,,,,
PK-94,Saud Khan,Independent,Sheep (241),15,,,,,,,,
PK-94,Saeed Ullah,Independent,Brick (35),45,,,,,,,,
PK-94,Syed Anees UI Hassan,Independent,Tower (291),21,,,,,,,,
PK-94,Syed Basharat Hussain,Independent,Kettle (153),6357,,,,,,,,
PK-94,Syed Ghazi Ghazan Jamal,Independent,Aeroplane (2),1474,,,,,,,,
PK-94,Shaheed Khan,Independent,Match Box (172),89,,,,,,,,
PK-94,Sher Nawaz Orakzai,Independent,Peacock (194),13,,,,,,,,
PK-94,Zabit Gul,Pakistan Rah-e-Haq Party,Iron (147),34,,,,,,,,
PK-94,Zahir Jan,Independent,Clock (60),200,,,,,,,,
PK-94,Abdur Rehman So Lal Mat Khan,Independent,Fire Engine (103),118,,,,,,,,
PK-94,Abdul Rehman So Muhammad Rehman,Jamiat Ulama-e-Islam Pakistan,Book (31),8274,,,,,,,,
PK-94,Abdul Shahid,Independent,Water Cooler (317),19,,,,,,,,
PK-94,Qadim Khan,Independent,Bed (23),32,,,,,,,,
PK-94,Misal Khan,Independent,Suitcase (264),33,,,,,,,,
PK-94,Mujeeb Ur Rehman,Independent,Still Camera (261),17,,,,,,,,
PK-94,Muhammad Shah Pur Khan,Independent,Transformer (294),112,,,,,,,,
PK-94,Malak Mumtaz Khan,Independent,Bee (24),1455,,,,,,,,
PK-95,Asad Zaman,Independent,Dove (88),9,,,,,,,,
PK-95,Ismail Khan,Independent,Fire Engine (103),161,,,,,,,,
PK-95,Taj Muhammad,Independent,Slate (248),106,,,,,,,,
PK-95,Jamil Khan,Independent,Key With Lock (156),80,,,,,,,,
PK-95,Jawad Ali,Independent,Table (27 1),69,,,,,,,,
PK-95,Khiali Ur Rehman,Independent,Clock (60),5,,,,,,,,
PK-95,Rehman Gul,Independent,Match Box (172),102,,,,,,,,
PK-95,Rakhmin Khan,Independent,Laptop (163),116,,,,,,,,
PK-95,Rasool Gul,Independent,Newspaper (183),61,,,,,,,,
PK-95,Rizwan Ullah,Independent,Suitcase (264),174,,,,,,,,
PK-95,Rafi Ullah,Pakistan Peoples Party Parliamentarians,Arrow (12),286,,,,,,,,
PK-95,Sajjad Ali Shah Bangash,Independent,Pineapple (203),10,,,,,,,,
PK-95,Saif Ullah Khan,Independent,Pomegranate (208),27,,,,,,,,
PK-95,Shehzad Zaman Bangash,Independent,Feather (102),13,,,,,,,,
PK-95,Sadiq Khan,Independent,Orange ( 188),36,,,,,,,,
PK-95,Adil Muhammad,Independent,Printer (210),81,,,,,,,,
PK-95,Abdul Qadir,Independent,Aeroplane (2),185,,,,,,,,
PK-95,Abdul Aziz,Independent,Battery (21),35,,,,,,,,
PK-95,Imran Khan,Independent - PTI,Bowl (34),23059,,,,,,,,
PK-95,Fateh Ullah,Independent,Roller of Wood (223),23,,,,,,,,
PK-95,Fakhar Zaman,Independent,Screw Driver (237),29,,,,,,,,
PK-95,Farhana,Majlis Wahdat-e-Muslimeen Pakistan,Tent (282),406,,,,,,,,
PK-95,Farid Khan,Independent,Tooth Brush (287),31,,,,,,,,
PK-95,Gul Faraz,Independent,Fridge (113),62,,,,,,,,
PK-95,Muhammad Ayaz,Independent,Peacock (194),174,,,,,,,,
PK-95,Muhammad Riaz,Jamiat Ulama-e-Islam Pakistan,Book (31),29379,,,,,,,,
PK-95,Muhammad Shoaib,Independent,Sea Saw (238),5,,,,,,,,
PK-95,Muhammad Ali Khan Orakzai,Pakistan Muslim League (N),Tiger (284),541,,,,,,,,
PK-95,Muhammad Ghayor,Independent,Audio Cassette (13),21,,,,,,,,
PK-95,Muhammad Karim,Jamaat-e-islami Pakistan,Scale (232),560,,,,,,,,
PK-95,Malik Rashid Ahmed Khan,Independent,Kettle (153),58,,,,,,,,
PK-95,Mir Was Khan,Independent,Parrot (193),33,,,,,,,,
PK-95,Nemat Ullah,Independent,Brick (35),71,,,,,,,,
PK-95,Noor jan,Independent,Sheep (241),240,,,,,,,,
PK-95,Nawroz Khan,Awami National Party,Lantern (162),1096,,,,,,,,
PK-96,Ibrar Hussain,Independent,Laptop (163),6,,,,,,,,
PK-96,Irshad Hussain,Independent,Cricket Strumps (73),2,,,,,,,,
PK-96,Jalal Hussain,Independent,Bowl (34),31,,,,,,,,
PK-96,Jawad Hussain,Independent,Dove (88),27,,,,,,,,
PK-96,Zartaj Hussain,Independent,Swallow (267),12,,,,,,,,
PK-96,Sajid Hussain Turi,Pakistan Peoples Party Parliamentarians,Arrow (12),681,,,,,,,,
PK-96,Sajjad Hussain,Independent,Study Table with Chair (263),5,,,,,,,,
PK-96,Sakhi Jan,Independent,Clock (60),1,,,,,,,,
PK-96,Syed Irshad Hussain,Independent,Bed (23),9,,,,,,,,
PK-96,Syed Haider Abbas,National Democratic Movement,Mountain (180),226,,,,,,,,
PK-96,Syed Nijat Hussain,Majlis Wahdat-e-Muslimeen Pakistan,Tent (282),22215,,,,,,,,
PK-96,Ali Hadi,Independent,Pomegranate (208),38593,,,,,,,,
PK-96,Imran Khan,Independent,Parrot (193),8935,,,,,,,,
PK-96,Inayat Hussain Furl,Independent,Tower (291),6,,,,,,,,
PK-96,Eid Wazir,Independent,Feather (102),12,,,,,,,,
PK-96,Ghani Ur Rehmnn,Independent,Bee (24),4,,,,,,,,
PK-96,Mazhar Hussain,Independent,Black Board (29),3,,,,,,,,
PK-96,Malik Gulab Jan,Independent,Aeroplane (2),46,,,,,,,,
PK-96,Mir Afzal Khan 'Furl,Independent,Still Camera (261),9,,,,,,,,
PK-96,Nijat Hussain,Independent,Orange ( 188),156,,,,,,,,
PK-96,Wasi Syed Mian,Independent,Peacock (194),24874,,,,,,,,
PK-97,Aseel Ur Rehman,Pakistan Muslim League (N),Tiger (284),886,,,,,,,,
PK-97,Altaf Qadir,Independent,Charpai (56),276,,,,,,,,
PK-97,Sana Ullah Shah,Independent,Aeroplane (2),147,,,,,,,,
PK-97,David lqbal,Independent,Bed (23),16839,,,,,,,,
PK-97,Hayat Mir Khan,Independent,Donkey Cart (86),21,,,,,,,,
PK-97,Khurshid Alam,Pakistan Peoples Party Parliamentarians,Arrow (12),519,,,,,,,,
PK-97,Sabz All Khan,Jamiat Ulama-e-Islam Pakistan (S),Ladder (161),52,,,,,,,,
PK-97,Saeed Ur Rehman,Independent,Goat (123),222,,,,,,,,
PK-97,Said Rasool Khan,Independent,Cricket Strumps (73),155,,,,,,,,
PK-97,Shahbaz Khan Khattak,Independent,Clock (60),591,,,,,,,,
PK-97,Abdus Samad Yousaf,Independent,Garland (115),4,,,,,,,,
PK-97,Abdullah Khan,Independent,Transformer (294),37,,,,,,,,
PK-97,Adnan liaz,Independent,Drum (91),10,,,,,,,,
PK-97,Atta Ullah,Independent,Dhol (81),24,,,,,,,,
PK-97,Gul Sahib Khan,Awami National Party,Lantern (162),15356,,,,,,,,
PK-97,Muhammad Khurshid,Independent - PTI,Parachute (192),51994,,,,,,,,
PK-97,Muhammad Said Nawaz,Independent,Saxophone (231),3270,,,,,,,,
PK-97,Mian Nisar Gul,Jamiat Ulama-e-Islam Pakistan,Book (31),21387,,,,,,,,
PK-98,jehanzeh Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),409,,,,,,,,
PK-98,Zakir Ullah Khan,Independent,Charpai (56),2135,,,,,,,,
PK-98,Rehmat Ullah,Jamaat-e-islami Pakistan,Scale (232),456,,,,,,,,
PK-98,Saeed Ahmad,Independent,Peacock (194),19,,,,,,,,
PK-98,Salman UI Mulk,Independent,Cricket Strumps (73),32,,,,,,,,
PK-98,Saif Ur Rehman,Independent,Pomegranate (208),42,,,,,,,,
PK-98,Shakir Ullah,Pakistan Muslim League (N),Tiger (284),145,,,,,,,,
PK-98,Zahir Ud din,Jamiat Ulama-e-Islam Pakistan (S),Ladder (161),48,,,,,,,,
PK-98,Immad Azam,Jamiat Ulama-e-Islam Pakistan,Book (31),26771,,,,,,,,
PK-98,Kalsoom Munira,Independent,Clock (60),20,,,,,,,,
PK-98,Muhammad Rashid Khan,Independent,Water Cooler (317),62,,,,,,,,
PK-98,Muhammad Sajjad,Independent - PTI,Transformer (294),37160,,,,,,,,
PK-98,Muhammad Ghufran,Qaumi Watan party,Chiragh (Lamp) (58),184,,,,,,,,
PK-98,Muhammad Kamran,Independent,Fridge (113),34,,,,,,,,
PK-98,Mushtaq Ahmad,Awami National Party,Lantern (162),2479,,,,,,,,
PK-98,Malak Qasim Khan Khattak,Independent,Bed (23),31853,,,,,,,,
PK-98,Mansoor Ahmad,Independent,Match box (172),331,,,,,,,,
PK-98,Naseeb Ullah,Independent,Aeroplane (2),142,,,,,,,,
PK-98,Yar Muhammad,Independent,Human Eye (142),19,,,,,,,,
PK-99,Ahmad Ullah,Independent,Water Tank (319),775,,,,,,,,
PK-99,Islam Noor,Rabita Jamiat Ulma-e- lslam (RJUI),Ring (220),5,,,,,,,,
PK-99,Aslam Qader,Independent,Dhol (81),4,,,,,,,,
PK-99,Afsar Khan,Independent,Slate (248),109,,,,,,,,
PK-99,Bakht Ullah,Independent,Tap (277),12,,,,,,,,
PK-99,Haleem Zada,Pakistan Tehreek-e- Insat Parliamentarian (PTIP),Turban (305),1404,,,,,,,,
PK-99,Zohaib Khan,Independent,Bear (2 2),23,,,,,,,,
PK-99,Zahid Ullah Khan,Independent - PTI,Peacock (194),27792,,,,,,,,
PK-99,Safir Ullah,Independent,Fridge (113),23,,,,,,,,
PK-99,Said Alam,Independent,Pomegranate (208),9,,,,,,,,
PK-99,Sher Azam Khan,jamiat Ulama-e-Islam,Book (31),27253,,,,,,,,
PK-99,Sher Badshah,Independent,Aeroplane (2),16,,,,,,,,
PK-99,Salah Ud Din,Tehreek-e-Darveshan Pakistan,Waist Coat ( 314),70,,,,,,,,
PK-99,Abdus Samad Khan,Muttahida Qomi Movement Pakistan,Kite ( 159),77,,,,,,,,
PK-99,Arab Khan,Independent,Table (27 1),23,,,,,,,,
PK-99,Aziz,Independent,Cricket Stumps (73),12,,,,,,,,
PK-99,Imran Ullah,Independent,Dolphin (85),31,,,,,,,,
PK-99,Imran Khan,Independent,Racket (214),20,,,,,,,,
PK-99,Umer Hayat Khan,Independent,Deep Freezer (79),45,,,,,,,,
PK-99,Ghani Ur Rehman,Pakis tan Muslim League (N),Tiger (284),244,,,,,,,,
PK-99,Faheem Ahmad Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),1498,,,,,,,,
PK-99,Muhammad Isar Ali,Independent,Transformer (294),145,,,,,,,,
PK-99,Malik Muhammad Shuja Khan,Independent,Charpai (56),140,,,,,,,,
PK-99,Meherban Khan,Independent,Badge ( 1 6),7,,,,,,,,
PK-99,Norani Khan,Awami National Party,Lantern (162),1738,,,,,,,,
PK-99,Nek Dar Ali Khan,Independent,MIC (174),39,,,,,,,,
PK-100,Asghar Nawaz Khan,Awami National party,Lantern (162),593,,,,,,,,
PK-100,Akram Khan Durrani,Jamiat Ulama-e-Islam Pakistan,Book (31),23909,,,,,,,,
PK-100,Inam Ullah Khan,Independent,Pomegranate (208),193,,,,,,,,
PK-100,Anita Mahsood,Pakistan tehreek-e-Insaf Parlimantarian (PTIP),Turban (305),222,,,,,,,,
PK-100,Aurang Zeb Khan,Pashtoonkhwa Milli awami Party,Tree (295),267,,,,,,,,
PK-100,Akhtar Ali Shah,Jamaat-e-Islami Pakistan,Scale (232),13679,,,,,,,,
PK-100,Pakhtoon yar khan,Independent - PTI,Bowl (34),30925,,,,,,,,
PK-100,Pir Khan Badshah,Independent,Bed (23),40,,,,,,,,
PK-100,Gul Qiaz Khan,Tehreek-e-Darveshan Pakistan,Waist Coat (314),51,,,,,,,,
PK-100,Muhammad Akbar Khan (RTD),Independent,Cricket Stumps (73),68,,,,,,,,
PK-100,Muhammad Raees Khan,Independent,Stethoscope (260),222,,,,,,,,
PK-100,Muhammad Mustafa Khan,Independent,Aeroplane (2),19,,,,,,,,
PK-100,Malik Sheroz Khan,Independent,Charpai (56),58,,,,,,,,
PK-101,Inam Ullah Khan,Independent,Clock (60),165,,,,,,,,
PK-101,Taimur Wazir,Independent,Baby Cot (15),252,,,,,,,,
PK-101,Jaffar Shah,Independent,Sharpeneг (240),62,,,,,,,,
PK-101,Khan Bad Shah,Independent,Radiо (215),67,,,,,,,,
PK-101,Rasool Nawaz Sadiq,Pakistan Muslim League (N),Tiger (284),19,,,,,,,,
PK-101,Sarwar Khan,Independent,Transformer (294),47,,,,,,,,
PK-101,Shah Muhammad Khan,Independent - PTI,Bed (23),21369,,,,,,,,
PK-101,Zia Ullаh,Independent,Bowl (34),22,,,,,,,,
PK-101,Adnan Khan,Jamiat Ulama-e-Islam Pakistan,Вook (31),25513,,,,,,,,
PK-101,Fida Ahmed Shah,Pakistan Tehreek-e- Insaf Parliamentariaп (PTIР),Turban (305),72,,,,,,,,
PK-101,Faiz Mulummad Khan,Independent,Newspaper (183),260,,,,,,,,
PK-101,Маmoon Ur Rashid,Independent,Kettle (133),31,,,,,,,,
PK-101,Muhammad Таhir Khan,Rabita Jamiat Ulma-e lslam (RJUI),Ring (220),174,,,,,,,,
PK-101,Wajid Ali Shah,Independent,Peacock (194),9166,,,,,,,,
PK-101,Waqar Khan,Independent,Aeroplane (2),33,,,,,,,,
PK-102,Asif Rahman,Independent,Medal (173),25,,,,,,,,
PK-102,Akram Khan Durrani,Jamiat Ulama-e-lslam Pakistan,Book (31),39061,,,,,,,,
PK-102,Jaffar Shah,Pakistan Tehreek-e-Insaf Parliamentarian (IMP),Turban (305),484,,,,,,,,
PK-102,Hafiz Zahid Ali Khan,Rabita Jamiat Ulma-e lslam (RJUI),Ring (220),432,,,,,,,,
PK-102,Zair Muhammad Khan,Independent,Aeroplane (2),81,,,,,,,,
PK-102,Sami Ullah Shah,Pakistan Muslim League (N),Tiger (284),75,,,,,,,,
PK-102,Safdar lqbal Shah,Independent,Table (271),188,,,,,,,,
PK-102,Farzand Ali Khan,Independent,Charpai (56),10287,,,,,,,,
PK-102,Muhammad Aurang Zeb Khan,Pakistan Markazi Muslim League,Chair (55),29,,,,,,,,
PK-102,Muhammad Tahir Khan,Independent,Badge (16),609,,,,,,,,
PK-102,Muhammad Usman Ali Khan,Independent,Printer (210),71,,,,,,,,
PK-102,Muhammad Qasim,Independent,Transformer (294),17,,,,,,,,
PK-102,Malik Ashraf Khan,Independent,Dhol (81),1488,,,,,,,,
PK-102,Malik Adnan Khan,Independent - PTI,kettle (153),35825,,,,,,,,
PK-102,Mameez Ullah Khan,Independent,Bee (24),36,,,,,,,,
PK-102,Nadia Bibi,Independent,Queen (211),19,,,,,,,,
PK-102,Haroon Khan,Pashtoonkhwa Milli Awami Party,Tree (295),27,,,,,,,,
PK-103,Asad Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),17723,,,,,,,,
PK-103,Jamal Abdul Nasir,National Democratic Movement,Mountain (180),9664,,,,,,,,
PK-103,Chief Malik Muhammad Qasim Khan,Independent,Charpai (56),23,,,,,,,,
PK-103,Rafain Ullah Khayali,Independent,Clock (60),1114,,,,,,,,
PK-103,Raheem Ullah,Independent,Bench (26),28,,,,,,,,
PK-103,Said Wazir,Independent,Cricket Stumps (73),18,,,,,,,,
PK-103,Shakir Ullah,Independent,Laptop (163),249,,,,,,,,
PK-103,Allama Iqbal,Independent - PTI,Pomegranate (208),9914,,,,,,,,
PK-103,Liaqat Ali Khan,Independent,Water Cooler (317),7106,,,,,,,,
PK-103,Muhammad Iqbal Khan,Pakistan Tehreek-eInsaf Parliamentarian (IMP),Turban (305),24229,,,,,,,,
PK-103,Muhammad Kamran,Independent,Teapot (279),82,,,,,,,,
